	line_break_and_label	source	doi	line_break_and_fiducial	posted_date	covid_preprint	title	abstract	is_published	published_doi	published_link_type	published_title	published_date	published_journal	published_publisher	delay_in_days	published_pubmed_abstract	published_abstract_source	published_abstract_source_notes	abstract_change	change_outcomes	difflib standard change_ratio	new_change_ratio (re-arrangements at 0.5)	new_change_ratio (re-arrangements at 0.0)	exclude	page_breaks	raw_char_change_Word
23	(((((( Preprint DOI: 	medrxiv	10.1101/19008227	(((((( We have manually inserted this sentence to assist with proper alignment of the text. These words will be deleted after the abstracts are properly combined.((((((	########	FALSE	Molecular point-of-care testing for influenza A/B and respiratory syncytial virus: comparison of workflow parameters for the ID Now and cobas Liat systems	Aims: Point-of-care (POC) tests for influenza and respiratory syncytial virus (RSV) offer the potential to improve patient management and antimicrobial stewardship. Studies have focused on performance; however, no workflow assessments have been published comparing POC molecular tests. This study compared the Liat and ID Now systems workflow, to assist end-users in selecting an influenza and/or RSV POC test. Methods: Staffing, walk-away, and turnaround time (TAT) of the Liat and ID Now systems were determined using 40 nasopharyngeal samples, positive for influenza or RSV. The ID Now system requires separate tests for influenza and RSV, so parallel (two instruments) and sequential (one instrument) workflows were evaluated. Results: The ID Now ranged 4.1-6.2 minutes for staffing, 1.9-10.9 minutes for walk-away and 6.4-15.8 minutes for TAT per result. The Liat ranged 1.1-1.8 minutes for staffing, 20.0-20.5 minutes for walk-away and 21.3-22.0 minutes for TAT. Mean walk-away time comprised 38.0% (influenza positive) and 68.1% (influenza negative) of TAT for ID Now and 93.7% (influenza/RSV) for Liat. The ID Now parallel workflow resulted in medians of 5.9 minutes for staffing, 9.7 minutes for walk-away, and 15.6 minutes for TAT. Assuming prevalence of 20% influenza and 20% RSV, the ID Now sequential workflow resulted in medians of 9.4 minutes for staffing, 17.4 minutes for walk-away, and 27.1 minutes for TAT. Conclusions: The ID Now and Liat systems offer different workflow characteristics. Key considerations for implementation include value of both influenza and RSV results, clinical setting, staffing capacity, and instrument(s) placement.	TRUE	10.1136/jclinpath-2019-206242	publication_notice	Molecular point-of-care testing for influenza A/B and respiratory syncytial virus: comparison of workflow parameters for the ID Now and cobas Liat systems	########	Journal of Clinical Pathology	BMJ	62	Aims Point-of-care (POC) tests for influenza and respiratory syncytial virus (RSV) offer the potential to improve patient management and antimicrobial stewardship. Studies have focused on performance; however, no workflow assessments have been published comparing POC molecular tests. This study compared the Liat and ID Now systems workflow, to assist end-users in selecting an influenza and/or RSV POC test.  Methods Staffing, walk-away and turnaround time (TAT) of the Liat and ID Now systems were determined using 40 nasopharyngeal samples, positive for influenza or RSV. The ID Now system requires separate tests for influenza and RSV, so parallel (two instruments) and sequential (one instrument) workflows were evaluated.  Results The ID Now ranged 4.1–6.2 min for staffing, 1.9–10.9 min for walk-away and 6.4–15.8 min for TAT per result. The Liat ranged 1.1–1.8 min for staffing, 20.0–20.5 min for walk-away and 21.3–22.0 min for TAT. Mean walk-away time comprised 38.0% (influenza positive) and 68.1% (influenza negative) of TAT for ID Now and 93.7% (influenza/RSV) for Liat. The ID Now parallel workflow resulted in medians of 5.9 min for staffing, 9.7 min for walk-away and 15.6 min for TAT. Assuming prevalence of 20% influenza and 20% RSV, the ID Now sequential workflow resulted in medians of 9.4 min for staffing, 17.4 min for walk-away, and 27.1 min for TAT.  Conclusions The ID Now and Liat systems offer different workflow characteristics. Key considerations for implementation include value of both influenza and RSV results, clinical setting, staffing capacity, and instrument(s) placement.	Copied	NA	0	0	0.3503784005	0.51904474	0.51904474	keep	??????	
24	(((((( Preprint DOI: 	medrxiv	10.1101/19008276	(((((( We have manually inserted this sentence to assist with proper alignment of the text. These words will be deleted after the abstracts are properly combined.((((((	########	FALSE	Sugar or Salt (SOS): a protocol for a UK multicentre randomised trial of mannitol and hypertonic saline in severe traumatic brain injury and intracranial hypertension	Hyperosmolar solutions are widely used to treat raised intracranial pressure (ICP) following severe traumatic brain injury (TBI). Although mannitol has historically been the most frequently administered, hypertonic saline (HTS) solutions are increasingly being used. However, definitive evidence regarding their comparative effectiveness is lacking. The Sugar or Salt (SOS) Trial is a UK randomised, allocation concealed open label multicentre pragmatic trial designed to determine the clinical and cost-effectiveness of hypertonic saline (HTS) compared with mannitol in the management of patients with severe TBI. Patients requiring intensive care unit admission and intracranial pressure (ICP) monitoring post-TBI will be allocated at random to receive equi-osmolar boluses of either mannitol or HTS following failure of routine first line measures to control ICP. The primary outcome for the study will be the Extended Glasgow Outcome Scale (GOS-E) assessed at 6 months after randomisation. Results will inform current clinical practice in the routine use of hyperosmolar therapy as well as assess the impact of potential side effects. Pre-planned longer term clinical and cost effectiveness analyses will further inform the use of these treatments.	TRUE	10.1177/1751143720901690	publication_notice	Sugar or salt (“SOS”): A protocol for a UK multicentre randomised trial of mannitol and hypertonic saline in severe traumatic brain injury and intracranial hypertension	########	Journal of the Intensive Care Society	SAGE Publications	131	Hyperosmolar solutions are widely used to treat raised intracranial pressure following severe traumatic brain injury. Although mannitol has historically been the most frequently administered, hypertonic saline solutions are increasingly being used. However, definitive evidence regarding their comparative effectiveness is lacking. The Sugar or Salt Trial is a UK randomised, allocation concealed open label multicentre pragmatic trial designed to determine the clinical and cost-effectiveness of hypertonic saline compared with mannitol in the management of patients with severe traumatic brain injury. Patients requiring intensive care unit admission and intracranial pressure monitoring post-traumatic brain injury will be allocated at random to receive equi-osmolar boluses of either mannitol or hypertonic saline following failure of routine first-line measures to control intracranial pressure. The primary outcome for the study will be the Extended Glasgow Outcome Scale assessed at six months after randomisation. Results will inform current clinical practice in the routine use of hyperosmolar therapy as well as assess the impact of potential side effects. Pre-planned longer term clinical and cost effectiveness analyses will further inform the use of these treatments.	Copied	NA	0	0	0.4921011058	0.2257726558	0.08171817706	keep	??????	
25	(((((( Preprint DOI: 	medrxiv	10.1101/19008300	(((((( We have manually inserted this sentence to assist with proper alignment of the text. These words will be deleted after the abstracts are properly combined.((((((	########	FALSE	Diagnosing Cornelia de Lange syndrome and related neurodevelopmental disorders using RNA-sequencing	Neurodevelopmental phenotypes represent major indications for children undergoing clinical exome sequencing. However, up to 50% of cases remain undiagnosed even upon periodic exome reanalysis. RNA sequencing (RNA-seq) can boost diagnostic yield in neuromuscular diseases, but its utility in neurodevelopmental disorders is hampered out of concern for sourcing relevant tissue for RNA analysis. Here we show human B lymphoblastoid cell lines (LCL) share the transcriptional repertoire of brain tissue for a large subset of neurodevelopmental Mendelian genes, enabling testing of over 1000 genetic syndromes. LCLs also showed a 1.8-fold increase in the number of genes causing neurodevelopmental phenotypes when compared to whole blood (LCL, n = 1706; whole blood, n = 917) indicating a more robust testing landscape. We applied an RNA-seq diagnostic pipeline on LCLs from patients with Cornelia de Lange syndrome (CdLS), a rare multisystem neurodevelopment disorder and found 100% sensitivity for detection of abnormal splicing and 90% sensitivity for detecting all pathogenic events. Application of the pipeline on unsolved cases of CdLS revealed abnormal splicing and pathogenic coding variants in NIPBL and BRD4. This work demonstrates that the LCL transcriptome enables broad, frontline or reflexive, diagnostic testing for neurodevelopmental disorders.	TRUE	10.1038/s41436-019-0741-5	publication_notice	Diagnosing Cornelia de Lange syndrome and related neurodevelopmental disorders using RNA sequencing	########	Genetics in Medicine	Springer Science and Business Media LLC	92	Purpose: Neurodevelopmental disorders represent a frequent indication for clinical exome sequencing. Fifty percent of cases, however, remain undiagnosed even upon exome reanalysis. Here we show RNA sequencing (RNA-seq) on human B-lymphoblastoid cell lines (LCL) is highly suitable for neurodevelopmental Mendelian gene testing and demonstrate the utility of this approach in suspected cases of Cornelia de Lange syndrome (CdLS).        Methods: Genotype-Tissue Expression project transcriptome data for LCL, blood, and brain were assessed for neurodevelopmental Mendelian gene expression. Detection of abnormal splicing and pathogenic variants in these genes was performed with a novel RNA-seq diagnostic pipeline and using a validation CdLS-LCL cohort (n = 10) and test cohort of patients who carry a clinical diagnosis of CdLS but negative genetic testing (n = 5).        Results: LCLs share isoform diversity of brain tissue for a large subset of neurodevelopmental genes and express 1.8-fold more of these genes compared with blood (LCL, n = 1706; whole blood, n = 917). This enables testing of more than 1000 genetic syndromes. The RNA-seq pipeline had 90% sensitivity for detecting pathogenic events and revealed novel diagnoses such as abnormal splice products in NIPBL and pathogenic coding variants in BRD4 and ANKRD11.        Conclusion: The LCL transcriptome enables robust frontline and/or reflexive diagnostic testing for neurodevelopmental disorders.	Copied	NA	1	0	0.7773049645	0.6650961916	0.5975657636	keep	??????	
26	(((((( Preprint DOI: 	medrxiv	10.1101/19008342	(((((( We have manually inserted this sentence to assist with proper alignment of the text. These words will be deleted after the abstracts are properly combined.((((((	########	FALSE	Genetic determinants of trehalose utilization are not associated with severe Clostridium difficile infection	In a case-control study of patients with C. difficile infection we found no statistically significant association between the presence of trehalose utilization variants in infecting C. difficile strains and development of severe infection. These results do not support trehalose utilization conferring enhanced virulence in the context of human C. difficile infections.	TRUE	10.1093/ofid/ofz548	publication_notice	Genetic Determinants of Trehalose Utilization Are Not Associated With Severe Clostridium difficile Infection Outcome	########	Open Forum Infectious Diseases	Oxford University Press (OUP)	78	In a case–control study of patients with Clostridium difficile infection, we found no statistically significant association between the presence of trehalose utilization variants in infecting C. difficile strains and development of severe infection outcome. These results do not support trehalose utilization conferring enhanced virulence in the context of human C. difficile infections.	Copied	NA	0	0	0.8095238095	0.3578643579	0.1803751804	keep	??????	
27	(((((( Preprint DOI: 	medrxiv	10.1101/19008367	(((((( We have manually inserted this sentence to assist with proper alignment of the text. These words will be deleted after the abstracts are properly combined.((((((	########	FALSE	Identification of newborns at risk for autism using electronic medical records and machine learning	Importance: Current approaches for early identification of individuals at high risk for autism spectrum disorder (ASD) in the general population are limited, where most ASD patients are not identified until after the age of 4. This is despite substantial evidence suggesting that early diagnosis and intervention improves developmental course and outcome. Objective: Develop a machine learning (ML) method predicting the diagnosis of ASD in offspring in a general population sample, using parental electronic medical records (EMR) available before childbirth Design: Prognostic study of EMR data within a single Israeli health maintenance organization, for the parents of 1,397 ASD children (ICD-9/10), and 94,741 non-ASD children born between January 1st, 1997 through December 31st, 2008. The complete EMR record of the parents was used to develop various ML models to predict the risk of having a child with ASD. Main outcomes and measures: Routinely available parental sociodemographic information, medical histories and prescribed medications data until offspring's birth were used to generate features to train various machine learning algorithms, including multivariate logistic regression, artificial neural networks, and random forest. Prediction performance was evaluated with 10-fold cross validation, by computing C statistics, sensitivity, specificity, accuracy, false positive rate, and precision (positive predictive value, PPV). Results: All ML models tested had similar performance, achieving an average C statistics of 0.70, sensitivity of 28.63%, specificity of 98.62%, accuracy of 96.05%, false positive rate of 1.37%, and positive predictive value of 45.85% for predicting ASD in this dataset. Conclusion and relevance: ML algorithms combined with EMR capture early life ASD risk. Such approaches may be able to enhance the ability for accurate and efficient early detection of ASD in large populations of children.	TRUE	10.1192/j.eurpsy.2020.17	publication_notice	Identification of newborns at risk for autism using electronic medical records and machine learning	########	European Psychiatry	Royal College of Psychiatrists	141	Background.: Current approaches for early identification of individuals at high risk for autism spectrum disorder (ASD) in the general population are limited, and most ASD patients are not identified until after the age of 4. This is despite substantial evidence suggesting that early diagnosis and intervention improves developmental course and outcome. The aim of the current study was to test the ability of machine learning (ML) models applied to electronic medical records (EMRs) to predict ASD early in life, in a general population sample.        Methods.: We used EMR data from a single Israeli Health Maintenance Organization, including EMR information for parents of 1,397 ASD children (ICD-9/10) and 94,741 non-ASD children born between January 1st, 1997 and December 31st, 2008. Routinely available parental sociodemographic information, parental medical histories, and prescribed medications data were used to generate features to train various ML algorithms, including multivariate logistic regression, artificial neural networks, and random forest. Prediction performance was evaluated with 10-fold cross-validation by computing the area under the receiver operating characteristic curve (AUC; C-statistic), sensitivity, specificity, accuracy, false positive rate, and precision (positive predictive value [PPV]).        Results.: All ML models tested had similar performance. The average performance across all models had C-statistic of 0.709, sensitivity of 29.93%, specificity of 98.18%, accuracy of 95.62%, false positive rate of 1.81%, and PPV of 43.35% for predicting ASD in this dataset.        Conclusions.: We conclude that ML algorithms combined with EMR capture early life ASD risk as well as reveal previously unknown features to be associated with ASD-risk. Such approaches may be able to enhance the ability for accurate and efficient early detection of ASD in large populations of children.	Copied	NA	1	1	0.4263485477	0.408912656	0.3465240642	keep	??????	
28	(((((( Preprint DOI: 	medrxiv	10.1101/19008615	(((((( We have manually inserted this sentence to assist with proper alignment of the text. These words will be deleted after the abstracts are properly combined.((((((	########	FALSE	A Multiomics Approach to Heterogeneity in Alzheimer's Disease: Focused Review and Roadmap	Etiological and clinical heterogeneity is increasingly recognized as a common characteristic of Alzheimer's disease and related dementias. This heterogeneity complicates diagnosis, treatment, and the design and testing of new drugs. An important line of research is discovery of multimodal biomarkers that will facilitate the targeting of subpopulations with homogeneous pathophysiological signatures. High-throughput omics are unbiased data driven techniques that probe the complex etiology of Alzheimer's disease from multiple levels (e.g. network, cellular, and molecular) and thereby account for pathophysiological heterogeneity in clinical populations. This review focuses on data reduction analyses that identify complementary disease-relevant perturbations for three omics techniques: neuroimaging-based subtypes, metabolomics-derived metabolite panels, and genomics-related polygenic risk scores. Neuroimaging can track accrued neurodegeneration and other sources of network impairments, metabolomics provides a global small-molecule snapshot that is sensitive to ongoing pathological processes, and genomics characterizes relatively invariant genetic risk factors representing key pathways associated with Alzheimer's disease. Following this focused review, we present a roadmap for assembling these multiomics measurements into a diagnostic tool highly predictive of individual clinical trajectories, to further the goal of personalized medicine in Alzheimer's disease.	TRUE	10.1093/brain/awz384	publication_notice	A multiomics approach to heterogeneity in Alzheimer’s disease: focused review and roadmap	########	Brain	Oxford University Press (OUP)	36	Aetiological and clinical heterogeneity is increasingly recognized as a common characteristic of Alzheimer’s disease and related dementias. This heterogeneity complicates diagnosis, treatment, and the design and testing of new drugs. An important line of research is discovery of multimodal biomarkers that will facilitate the targeting of subpopulations with homogeneous pathophysiological signatures. High-throughput ‘omics’ are unbiased data-driven techniques that probe the complex aetiology of Alzheimer’s disease from multiple levels (e.g. network, cellular, and molecular) and thereby account for pathophysiological heterogeneity in clinical populations. This review focuses on data reduction analyses that identify complementary disease-relevant perturbations for three omics techniques: neuroimaging-based subtypes, metabolomics-derived metabolite panels, and genomics-related polygenic risk scores. Neuroimaging can track accrued neurodegeneration and other sources of network impairments, metabolomics provides a global small-molecule snapshot that is sensitive to ongoing pathological processes, and genomics characterizes relatively invariant genetic risk factors representing key pathways associated with Alzheimer’s disease. Following this focused review, we present a roadmap for assembling these multiomics measurements into a diagnostic tool highly predictive of individual clinical trajectories, to further the goal of personalized medicine in Alzheimer’s disease.	Copied	NA	0	0	0.006076975017	0.01469605878	0.01469605878	keep	??????	
29	(((((( Preprint DOI: 	medrxiv	10.1101/19008953	(((((( We have manually inserted this sentence to assist with proper alignment of the text. These words will be deleted after the abstracts are properly combined.((((((	########	FALSE	German Recommendations for Physical Activity and Physical Activity Promotion in Adults with Noncommunicable Diseases	Background: The objective of this study was to develop evidence-based recommendations for physical activity (PA) and PA promotion for German adults (18-65 years) with noncommunicable diseases (NCDs). Methods: The PA recommendations were developed based on existing PA recommendations and using a three-phased process. In phase 1, systematic literature searches were conducted for current PA recommendations for seven chronic conditions (osteoarthrosis of the hip and knee, chronic obstructive pulmonary disease, stable ischemic heart disease, stroke, clinical depression, and chronic non-specific back pain). In phase 2, the PA recommendations were evaluated on the basis of 28 quality criteria. High-quality recommendations were identified, and a content analysis was conducted on these recommendations. In phase 3, the findings of the content analysis were summarised, and PA recommendations for seven chronic conditions were deducted. The seven recommendations were then synthesised to generate generic German PA recommendations for adults with noncommunicable diseases (NCDs). In relation to the recommendations for PA promotion, a systematic literature review was conducted on papers that reviewed the efficacy/effectiveness of interventions for PA promotion in adults with NCDs. Results: The German Recommendations for Physical Activity state that adults with NCDs should, over the course of a week, should do at least 150 minutes of moderate-intensity aerobic PA, or 75 minutes of vigorous-intensity aerobic PA, or a combination of both. Furthermore, muscle-strengthening activities should be performed at least twice a week. The promotion of PA among adults with NCDs should be theory-based, specifically target PA behaviour, and be tailored to the respective target group. In this context, and as an intervention method, exercise referral schemes are one of the more promising methods of promoting PA in adults with NCDs. Conclusion: The development of evidence-based recommendations for PA and PA promotion is an important step in terms of the initiation and implementation of actions for PA-related health promotion in Germany. The German Recommendations for PA and PA promotion inform adults affected by NCDs and health professionals on how much PA would be optimal for adults with NCDs. Additionally, the recommendations provide professionals entrusted in PA promotion the best strategies and interventions to raise low PA levels in adults with NCDs. The formulation of specific PA recommendations for adults with NCDs and their combination with recommendations on PA promotion is a unique characteristic of the German recommendations.	TRUE	10.1186/s12966-020-0919-x	publication_notice	German recommendations for physical activity and physical activity promotion in adults with noncommunicable diseases	########	International Journal of Behavioral Nutrition and Physical Activity	Springer Science and Business Media LLC	106	Background Existing physical activity guidelines predominantly focus on healthy age-stratified target groups. The objective of this study was to develop evidence-based recommendations for physical activity (PA) and PA promotion for German adults (18–65 years) with noncommunicable diseases (NCDs).  Methods The PA recommendations were developed based on existing PA recommendations. In phase 1, systematic literature searches were conducted for current PA recommendations for seven chronic conditions (osteoarthrosis of the hip and knee, chronic obstructive pulmonary disease, stable ischemic heart disease, stroke, clinical depression, and chronic non-specific back pain). In phase 2, the PA recommendations were evaluated on the basis of 28 quality criteria, and high-quality recommendations were analysed. In phase 3, PA recommendations for seven chronic conditions were deducted and then synthesised to generate generic German PA recommendations for adults with NCDs. In relation to the recommendations for PA promotion, a systematic literature review was conducted on papers that reviewed the efficacy/effectiveness of interventions for PA promotion in adults with NCDs.  Results The German recommendations for physical activity state that adults with NCDs should, over the course of a week, do at least 150 min of moderate-intensity aerobic PA, or 75 min of vigorous-intensity aerobic PA, or a combination of both. Furthermore, muscle-strengthening activities should be performed at least twice a week. The promotion of PA among adults with NCDs should be theory-based, specifically target PA behaviour, and be tailored to the respective target group. In this context, and as an intervention method, exercise referral schemes are one of the more promising methods of promoting PA in adults with NCDs.  Conclusion The development of evidence-based recommendations for PA and PA promotion is an important step in terms of the initiation and implementation of actions for PA-related health promotion in Germany. The German recommendations for PA and PA promotion inform adults affected by NCDs and health professionals on how much PA would be optimal for adults with NCDs. Additionally, the recommendations provide professionals entrusted in PA promotion the best strategies and interventions to raise low PA levels in adults with NCDs. The formulation of specific PA recommendations for adults with NCDs and their combination with recommendations on PA promotion is a unique characteristic of the German recommendations.	Copied	NA	0	0	0.08051747442	0.1457223997	0.1437699681	keep	??????	
30	(((((( Preprint DOI: 	medrxiv	10.1101/19009472	(((((( We have manually inserted this sentence to assist with proper alignment of the text. These words will be deleted after the abstracts are properly combined.((((((	########	FALSE	Randomized controlled trial combining constraint-induced movement therapy and action-observation training in unilateral cerebral palsy: clinical effects and influencing factors of treatment response.	Introduction. Constraint-induced movement therapy (CIMT) improves upper limb (UL) motor execution in unilateral cerebral palsy (uCP). As these children also show motor planning deficits, action-observation training (AOT) might be of additional value. Here, we investigated the combined effect of AOT to CIMT and identified factors influencing treatment response. Methods. Forty-four children with uCP (mean 9y6m, SD 1y10m) participated in a 9-day camp wearing a splint for 6 hours/day and were allocated to the CIMT+AOT (n=22) and the CIMT+placebo group (n=22). The CIMT+AOT group received 15 hours of AOT (i.e. video-observation) and executed the observed tasks, whilst the CIMT+AOT group watched videos free of biological motion and executed the same tasks. The primary outcome measure was bimanual performance. Secondary outcomes included measures at body function and activity level assessed before (T1), after (T2) the intervention, and at 6 months follow-up (T3). Influencing factors included behavioural and neurological characteristics. Results. Although no between-groups differences were found (p>0.05), the addition of AOT led to higher gains in children with initially poorer bimanual performance (p=0.02). Both groups improved in all outcome measures after the intervention and retained the gains at follow up (p<0.01). Poor sensory function resulted in larger improvements in the total group (p=0.03) and high amount of mirror movements tended to result in better response to the additional AOT training (p=0.06). Improvements were similar irrespective of the type of brain lesion or corticospinal tract wiring pattern. Conclusions. Adding AOT to CIMT, resulted in better outcome for children with poor motor function and high amount of mirror movements. CIMT with or without AOT seems to be more beneficial for children with poor sensory function. Trial registration: Registered at ClinicalTrials.gov on 22nd August 2017 (Identifier: NCT03256357).	TRUE	10.1177/1756286419898065	publication_notice	Randomized controlled trial combining constraint-induced movement therapy and action-observation training in unilateral cerebral palsy: clinical effects and influencing factors of treatment response	########	Therapeutic Advances in Neurological Disorders	SAGE Publications	77	Introduction: Constraint-induced movement therapy (CIMT) improves upper limb (UL) motor execution in unilateral cerebral palsy (uCP). As these children also show motor planning deficits, action-observation training (AOT) might be of additional value. Here, we investigated the combined effect of AOT to CIMT and identified factors influencing treatment response.  Methods: A total of 44 children with uCP (mean 9 years 6 months, SD 1 year 10 months) participated in a 9-day camp wearing a splint for 6 h/day and were allocated to the CIMT + AOT (n = 22) and the CIMT + placebo group (n = 22). The CIMT + AOT group received 15 h of AOT (i.e. video-observation) and executed the observed tasks, whilst the CIMT + AOT group watched videos free of biological motion and executed the same tasks. The primary outcome measure was bimanual performance. Secondary outcomes included measures of body function and activity level assessed before (T1), after the intervention (T2), and at 6 months follow-up (T3). Influencing factors included behavioural and neurological characteristics.  Results: Although no between-groups differences were found (p > 0.05; η2 = 0–16), the addition of AOT led to higher gains in children with initially poorer bimanual performance (p = 0.02; η2 = 0.14). Both groups improved in all outcome measures after the intervention and retained the gains at follow up (p < 0.01; η2 = 0.02–0.71). Poor sensory function resulted in larger improvements in the total group (p = 0.03; η2 = 0.25) and high amounts of mirror movements tended to result in a better response to the additional AOT training (p = 0.06; η2 = 0.18). Improvements were similar irrespective of the type of brain lesion or corticospinal tract wiring pattern.  Conclusions: Adding AOT to CIMT, resulted in a better outcome for children with poor motor function and high amounts of mirror movements. CIMT with or without AOT seems to be more beneficial for children with poor sensory function.	Copied	NA	0	2	0.4191806923	0.7046460177	0.6889380531	keep	??????	
31	(((((( Preprint DOI: 	medrxiv	10.1101/19009522	(((((( We have manually inserted this sentence to assist with proper alignment of the text. These words will be deleted after the abstracts are properly combined.((((((	########	FALSE	Genetic profile and functional proteomics of anal squamous cell carcinoma: proposal for a molecular classification	Background: Anal squamous cell carcinoma is a rare tumor. Chemo-radiotherapy yields a 50% 3-year relapse-free survival rate in advanced anal cancer, so improved predictive markers and therapeutic options are needed. Methods: High-throughput proteomics and whole-exome sequencing were performed in 46 paraffin samples from anal squamous cell carcinoma patients. Hierarchical clustering was used to establish groups de novo. Then, probabilistic graphical models were used to study the differences between groups of patients at the biological process level. Results: A molecular classification into two groups of patients was established, one group with increased expression of proteins related to adhesion, T lymphocytes and glycolysis; and the other group with increased expression of proteins related to translation and ribosomes. The probabilistic graphical model showed that these two groups presented differences in metabolism, mitochondria, translation, splicing and adhesion processes. Additionally, these groups showed different frequencies of genetic variants in some genes, such as ATM, SLFN11 and DST. Finally, genetic and proteomic characteristics of these groups suggested the use of some possible targeted therapies, such as PARP inhibitors or immunotherapy. Conclusions: In this study, a molecular classification of anal squamous cell carcinoma using high-throughput proteomics and whole-exome sequencing data was proposed. Moreover, differences between the two established groups suggested some possible therapies.	TRUE	10.1074/mcp.ra120.001954	publication_notice	Genetic Profile and Functional Proteomics of Anal Squamous Cell Carcinoma: Proposal for a Molecular Classification	########	Molecular & Cellular Proteomics	American Society for Biochemistry & Molecular Biology (ASBMB)	133	Anal squamous cell carcinoma is a rare tumor. Chemo-radiotherapy yields a 50% 3-year relapse-free survival rate in advanced anal cancer, so improved predictive markers and therapeutic options are needed. High-throughput proteomics and whole-exome sequencing were performed in 46 paraffin samples from anal squamous cell carcinoma patients. Hierarchical clustering was used to establish groups de novo. Then, probabilistic graphical models were used to study the differences between groups of patients at the biological process level. A molecular classification into two groups of patients was established, one group with increased expression of proteins related to adhesion, T lymphocytes and glycolysis; and the other group with increased expression of proteins related to translation and ribosomes. The functional analysis by the probabilistic graphical model showed that these two groups presented differences in metabolism, mitochondria, translation, splicing and adhesion processes. Additionally, these groups showed different frequencies of genetic variants in some genes, such as ATM, SLFN11, and DST. Finally, genetic and proteomic characteristics of these groups suggested the use of some possible targeted therapies, such as PARP inhibitors or immunotherapy	Copied	NA	0	2	0.3949158611	0.289406346	0.1970317298	keep	??????	
32	(((((( Preprint DOI: 	medrxiv	10.1101/19009589	(((((( We have manually inserted this sentence to assist with proper alignment of the text. These words will be deleted after the abstracts are properly combined.((((((	########	FALSE	Dengue importation into Europe: a network connectivity-based approach	The spread of dengue through global human mobility is a major public health concern. A key challenge is understanding the transmission pathways and mediating factors that characterized the patterns of dengue importation into non-endemic areas. Utilizing a network connectivity-based approach, we analyze the importation patterns of dengue fever into European countries. Seven connectivity indices were developed to characterize the role of the air passenger traffic, seasonality, incidence rate, geographical proximity, epidemic vulnerability, and wealth of a source country, in facilitating the transport and importation of dengue fever. We used generalized linear mixed models (GLMMs) to examine the relationship between dengue importation and the connectivity indices while accounting for the air transport network structure. We also incorporated network autocorrelation within a GLMM framework to investigate the propensity of a European country to receive an imported case, by virtue of its position within the air transport network. The connectivity indices and dynamical processes of the air transport network were strong predictors of dengue importation in Europe. With more than 70% of the variation in dengue importation patterns explained. We found that transportation potential was higher for source countries with seasonal dengue activity, high passenger traffic, high incidence rates, lower economic status, and geographical proximity to a destination country in Europe. We also found that position of a European country within the air transport network was a strong predictor of the country' propensity to receive an imported case. Our findings provide evidence that the importation patterns of dengue into Europe can be largely explained by appropriately characterizing the heterogeneities of the source, and topology of the air transport network. This contributes to the foundational framework for building integrated predictive models for bio-surveillance of dengue importation.	TRUE	10.1371/journal.pone.0230274	publication_notice	Dengue importation into Europe: A network connectivity-based approach	########	PLOS ONE	Public Library of Science (PLoS)	146	The spread of dengue through global human mobility is a major public health concern. A key challenge is understanding the transmission pathways and mediating factors that characterized the patterns of dengue importation into non-endemic areas. Utilizing a network connectivity-based approach, we analyze the importation patterns of dengue fever into European countries. Seven connectivity indices were developed to characterize the role of the air passenger traffic, seasonality, incidence rate, geographical proximity, epidemic vulnerability, and wealth of a source country, in facilitating the transport and importation of dengue fever. We used generalized linear mixed models (GLMMs) to examine the relationship between dengue importation and the connectivity indices while accounting for the air transport network structure. We also incorporated network autocorrelation within a GLMM framework to investigate the propensity of a European country to receive an imported case, by virtue of its position within the air transport network. The connectivity indices and dynamical processes of the air transport network were strong predictors of dengue importation in Europe. With more than 70% of the variation in dengue importation patterns explained. We found that transportation potential was higher for source countries with seasonal dengue activity, high passenger traffic, high incidence rates, high epidemic vulnerability, and in geographical proximity to a destination country in Europe. We also found that position of a European country within the air transport network was a strong predictor of the country’s propensity to receive an imported case. Our findings provide evidence that the importation patterns of dengue into Europe can be largely explained by appropriately characterizing the heterogeneities of the source, and topology of the air transport network. This contributes to the foundational framework for building integrated predictive models for bio-surveillance of dengue importation. 	Copied	NA	0	3	0.01299350325	0.02708025603	0.02708025603	keep	??????	
