doi,abstract
10.1101/013474,"Geographic patterns of genetic variation within modern populations, produced by complex histories of migration, can be difficult to infer and visually summarize. A general consequence of geographically limited dispersal is that samples from nearby locations tend to be more closely related than samples from distant locations, and so genetic covariance often recapitulates geographic proximity. We use genome-wide polymorphism data to build \""geogenetic maps,\"" which, when applied to stationary populations, produces a map of the geographic positions of the populations, but with distances distorted to reflect historical rates of gene flow. In the underlying model, allele frequency covariance is a decreasing function of geogenetic distance, and nonlocal gene flow such as admixture can be identified as anomalously strong covariance over long distances. This admixture is explicitly co-estimated and depicted as arrows, from the source of admixture to the recipient, on the geogenetic map. We demonstrate the utility of this method on a circum-Tibetan sampling of the greenish warbler (Phylloscopus trochiloides), in which we find evidence for gene flow between the adjacent, terminal populations of the ring species. We also analyze a global sampling of human populations, for which we largely recover the geography of the sampling, with support for significant histories of admixture in many samples. This new tool for understanding and visualizing patterns of population structure is implemented in a Bayesian framework in the program SpaceMix.\n\nAuthor SummaryIn this paper, we introduce a statistical method for inferring, for a set of sequenced samples, a map in which the distances between population locations reflect genetic, rather than geographic, proximity. Two populations that are sampled at distant locations but that are genetically similar (perhaps one was recently founded by a colonization event from the other) may have inferred locations that are nearby, while two populations that are sampled close together, but that are genetically dissimilar (e.g., are separated by a barrier), may have inferred locations that are farther apart. The result is a \""geogenetic\"" map in which the distances between populations are effective distances, indicative of the way that populations perceive the distances between themselves: the \""organisms-eye view\"" of the world. Added to this, \""admixture\"" can be thought of as the outcome of unusually long-distance gene flow; it results in relatedness between populations that is anomalously high given the distance that separates them. We depict the effect of admixture using arrows, from a source of admixture to its target, on the inferred map. The inferred geogenetic map is an intuitive and information-rich visual summary of patterns of population structure."
10.1101/013532,"Integrated -omics approaches are quickly spreading across microbiology research labs, leading to i) the possibility of detecting previously hidden features of microbial cells like multi-scale spatial organisation and ii) tracing molecular components across multiple cellular functional states. This promises to reduce the knowledge gap between genotype and phenotype and poses new challenges for computational microbiologists. We underline how the capability to unravel the complexity of microbial life will strongly depend on the integration of the huge and diverse amount of information that can be derived today from - omics experiments. In this work, we present opportunities and challenges of multi -omics data integration in current systems biology pipelines. We here discuss which layers of biological information are important for biotechnological and clinical purposes, with a special focus on bacterial metabolism and modelling procedures. A general review of the most recent computational tools for performing large-scale datasets integration is also presented, together with a possible framework to guide the design of systems biology experiments by microbiologists."
10.1101/013508,"The function of long noncoding RNAs (lncRNAs) depends on their location within the cell. While most studies to date have concentrated on their nuclear roles in transcriptional regulation, evidence is mounting that lncRNA also have cytoplasmic roles. Here we comprehensively map the cytoplasmic and ribosomal lncRNA population in a human cell. Three-quarters (74%) of lncRNAs are detected in the cytoplasm, the majority of which (62%) preferentially cofractionate with polyribosomes. Ribosomal lncRNA are highly expressed across tissues, under purifying evolutionary selection, and have cytoplasmic-to-nuclear ratios comparable to mRNAs and consistent across cell types. LncRNAs may be classified into three groups by their ribosomal interaction: non-ribosomal cytoplasmic lncRNAs, and those associated with either heavy or light polysomes. A number of mRNA-like features destin lncRNA for light polysomes, including capping and 5UTR length, but not cryptic open reading frames or polyadenylation. Surprisingly, exonic retroviral sequences antagonise recruitment. In contrast, it appears that lncRNAs are recruited to heavy polysomes through basepairing to mRNAs. Finally, we show that the translation machinery actively degrades lncRNA. We propose that light polysomal lncRNAs are translationally engaged, while heavy polysomal lncRNAs are recruited indirectly. These findings point to extensive and reciprocal regulatory interactions between lncRNA and the translation machinery."
10.1101/013516,"To study olfaction, first we should know which physical or chemical properties of odorant molecules determine the response of olfactory receptor neurons, and then we should study the effect of those properties on the combinatorial encoding in olfactory system.\n\nIn this work we show that the response of an olfactory receptor neuron in Drosophila depends on molecular volume of an odorant; The molecular volume determines the upper limits of the neural response, while the actual neural response may depend on other properties of the molecules. Each olfactory receptor prefers a particular volume, with some degree of flexibility. These two parameters predict the volume and flexibility of the binding-pocket of the olfactory receptors, which are the targets of structural biology studies.\n\nAt the end we argue that the molecular volume can affects the quality of perceived smell of an odorant via the combinatorial encoding, molecular volume may mask other underlying relations between properties of molecules and neural responses and we suggest a way to improve the selection of odorants in further experimental studies."
10.1101/013573,"Distantly related clades that occupy similar environments may differ due to the lasting imprint of their ancestors - historical contingency. The New World warblers (Parulidae) and Old World warblers (Phylloscopidae) are ecologically similar clades that differ strikingly in plumage coloration. We studied genetic and functional evolution of the short-wavelength sensitive visual pigments (SWS2 and SWS1) to ask if altered color perception could contribute to the plumage color differences between clades. We show SWS2 is short-wavelength shifted in birds that occupy open environments, such as finches, compared to those in closed environments, including warblers. Sequencing of opsin genes and phylogenetic reconstructions indicate New World warblers were derived from a finch-like form that colonized from the Old World 15-20Ma. During this process the SWS2 gene accumulated 6 substitutions in branches leading to New World warblers, inviting the hypothesis that passage through a finch-like ancestor resulted in SWS2 evolution. In fact, we show spectral tuning remained similar across warblers as well as the finch ancestor. Results reject the hypothesis of historical contingency based on opsin spectral tuning, but point to evolution of other aspects of visual pigment function. Using the approach outlined here, historical contingency becomes a generally testable theory in systems where genotype and phenotype can be connected."
10.1101/013607,"Convergent evolution is the independent evolution of similar traits in different species or lineages of the same species; this often is a result of adaptation to similar environments, a process referred to as convergent adaptation. We investigate here the molecular basis of convergent adaptation in maize to highland climates in Mesoamerica and South America using genome-wide SNP data. Taking advantage of archaeological data on the arrival of maize to the highlands, we infer demographic models for both populations, identifying evidence of a strong bottleneck and rapid expansion in South America. We use these models to then identify loci showing an excess of differentiation as a means of identifying putative targets of natural selection, and compare our results to expectations from recently developed theory on convergent adaptation. Consistent with predictions across a wide parameter space, we see limited evidence for convergent evolution at the nucleotide level in spite of strong similarities in overall phenotypes. Instead, we show that selection appears to have predominantly acted on standing genetic variation, and that introgression from wild teosinte populations appears to have played a role in highland adaptation in Mexican maize."
10.1101/013615,"Semantic Web technologies have been widely applied in Life Sciences, for example by data providers like OpenLifeData and Web Services frameworks like SADI. The recent OpenLifeData2SADI project offers access to the OpenLifeData data store through SADI services. This paper shows how to merge data from OpenLifeData with other extant SADI services in the Galaxy bioinformatics analysis platform, making semantic data amenable to complex analyses, as a worked example demonstrates. The whole setting is reproducible through a Docker image that includes a pre-configured Galaxy server with data and workflows that constitute the worked example."
10.1101/013623,"BackgroundDeep mutational scanning is a technique to estimate the impacts of mutations on a gene by using deep sequencing to count mutations in a library of variants before and after imposing a functional selection. The impacts of mutations must be inferred from changes in their counts after selection.\n\nResultsI describe a software package, dms_tools, to infer the impacts of mutations from deep mutational scanning data using a likelihood-based treatment of the mutation counts. I show that dms_tools yields more accurate inferences on simulated data than simply calculating ratios of counts pre-and post-selection. Using dms_tools, one can infer the preference of each site for each amino acid given a single selection pressure, or assess the extent to which these preferences change under different selection pressures. The preferences and their changes can be intuitively visualized with sequence-logo-style plots created using an extension to weblogo.\n\nConclusionsdms_tools implements a statistically principled approach for the analysis and subsequent visualization of deep mutational scanning data."
10.1101/013441,"1Forecasts of ecological dynamics in changing environments are increasingly important, and are available for a plethora of variables, such as species abundance and distribution, community structure, and ecosystem processes. There is, however, a general absence of knowledge about how far into the future, or other dimensions (space, temperature, phylogenetic distance), useful ecological forecasts can be made, and about how features of ecological systems relate to these distances. The ecological forecast horizon is the dimensional distance for which useful forecasts can be made. Five case studies illustrate the influence of various sources of uncertainty (e.g. parameter uncertainty, environmental , and demographic stochasticity, evolution), level of ecological organisation (e.g. population or community), organismal properties (e.g. body size or number of trophic links) on temporal, spatial, and phylogenetic forecast horizons. Insights from these case studies demonstrate that the ecological forecast horizon is a flexible and powerful tool for researching and communicating ecological predictability. It also has potential for motivating and guiding agenda setting for ecological forecasting research and development."
10.1101/013649,"DNA methylation is an epigenetic modification that plays a key role in gene regulation. Previous studies have investigated its genetic basis by mapping genetic variants that are associated with DNA methylation at specific sites, but these have been limited to microarrays that cover less than 2% of the genome and cannot account for allele-specific methylation (ASM). Other studies have performed whole-genome bisulfite sequencing on a few individuals, but these lack statistical power to identify variants associated with DNA methylation. We present a novel approach in which bisulfite-treated DNA from many individuals is sequenced together in a single pool, resulting in a truly genome-wide map of DNA methylation. Compared to methods that do not account for ASM, our approach increases statistical power to detect associations while sharply reducing cost, effort, and experimental variability. As a proof of concept, we generated deep sequencing data from a pool of 60 human cell lines; we evaluated almost twice as many CpGs as the largest microarray studies and identified over 2,000 genetic variants associated with DNA methylation. We found that these variants are highly enriched for associations with chromatin accessibility and CTCF binding but are less likely to be associated with traits indirectly linked to DNA, such as gene expression and disease phenotypes. In summary, our approach allows genome-wide mapping of genetic variants associated with DNA methylation in any tissue of any species, without the need for individual-level genotype or methylation data."
10.1101/013664,"Putative G-quadruplex-forming sequences (PQS) have long been implicated in regulation of DNA replication and transcription, though their actual roles are unknown. To gain insight into potential PQS transcriptional function, we map and analyze PQS motifs in promoters of genes differentially-expressed in Bloom Syndrome (BS) and Werner Syndrome (WS), two human genetic disorders resulting in loss of PQS-interacting RecQ helicases. Non-B-DNA structures at PQS might be stabilized in these syndromes. For BS and WS we demonstrate that PQS promoter abundance is generally higher in down-regulated genes and lower in up-regulated genes, and show that these effects are position-dependent. To interpret these correlations we determined genome-wide PQS correlations with transcription using epigenetic information to predict gene expression. We report that 33% and 35% of analyzed PQS positions in promoter antisense and sense strands, respectively, displayed statistically-significant correlation with gene expression. Of these statistically-significant positions, 100% and 84% on antisense and sense strands, respectively, were correlated with reduced expression. This suggests that promoter PQS repress transcription. Finally, we report neural network clustering analysis of PQS motifs to demonstrate that genes differentially-expressed in BS and WS are significantly biased in their PQS motifs, suggesting an unappreciated biological relationship between PQS, RecQ helicases, and transcription.\n\nREVIEWER LINKS TO DEPOSITED DATAftp://www.jsmes.net/PQS_Genomics"
10.1101/013631,"Renewable in vitro cell cultures, such as lymphoblastoid cell lines (LCLs), have facilitated studies that contributed to our understanding of genetic influence on human traits. However, the degree to which cell lines faithfully maintain differences in donor-specific phenotypes is still debated. We have previously reported that standard cell line maintenance practice results in a loss of donor-specific gene expression signatures in LCLs. An alternative to the LCL model is the induced pluripotent stem cell (iPSC) system, which carries the potential to model tissue-specific physiology through the use of differentiation protocols. Still, existing LCL banks represent an important source of starting material for iPSC generation, and it is possible that the disruptions in gene regulation associated with long-term LCL maintenance could persist through the reprogramming process. To address this concern, we studied the effect of reprogramming mature LCLs to iPSCs on the ensuing gene expression patterns within and between six unrelated donor individuals. We show that the reprogramming process results in a recovery of donor-specific gene regulatory signatures. Since environmental contributions are unlikely to be a source of individual variation in our system of highly passaged cultured cell lines, our observations suggest that the effect of genotype on gene regulation is more pronounced in the iPSCs than in the LCL precursors. Our findings indicate that iPSCs can be a powerful model system for studies of phenotypic variation across individuals in general, and the genetic association with variation in gene regulation in particular. We further conclude that LCLs are an appropriate starting material for iPSC generation."
10.1101/013680,"1A capacity to predict the spread rate of populations is critical for understanding the impacts of climate change and invasive species. Despite sophisticated theory describing how populations spread, the prediction of spread rate remains a formidable challenge. As well as the inherent stochasticity in the spread process, spreading populations are subject to strong evolutionary forces (operating on dispersal and reproductive rates) that can cause accelerating spread. Despite these strong evolutionary forces, serial founder events and drift on the expanding range edge mean that evolutionary trajectories in the invasion vanguard may be highly stochastic. Here I develop a model of spatial spread in continuous space that incorporates evolution of continuous traits under a quantitative genetic model of inheritance. I use this model to investigate the potential role of evolution on the variation in spread rate between replicate model realisations. Models incorporating evolution exhibited more than four times the variance in spread rate across replicate invasions compared with nonevolving scenarios. Results suggest that the majority of this increase in variation is driven by evolutionary stochasticity on the invasion front rather than initial founder events: in many cases evolutionary stochasticity on the invasion front contributed more than 90% of the variance in spread rate over 30 generations. Our uncertainty around predicted spread rates - whether for invasive species or those shifting under climate change - may be much larger than we expect when the spreading population contains heritable variation in rates of dispersal and reproduction."
10.1101/013540,"Maize offers an ideal system through which to demonstrate the potential of ancient population genomic techniques for reconstructing the evolution and spread of domesticates. The diffusion of maize from Mexico into the North American Southwest (SW) remains contentious with the available evidence being restricted to morphological studies of ancient maize plant material. We captured 1 Mb of nuclear DNA from 32 archaeological maize samples spanning 6000 years and compared them with modern landraces including those from the Mexican West coast and highlands. We found that the initial diffusion of domesticated maize into the SW is likely to have occurred through a highland route. However, by 2000 years ago a Pacific coastal corridor was also being used. Furthermore, we could distinguish between genes that were selected for early during domestication (such as zagl1 involved in shattering) from genes that changed in the SW context (e.g. related to sugar content and adaptation to drought) likely as a response to the local arid environment and new cultural uses of maize."
10.1101/013656,"Freeman-Sheldon syndrome, or distal arthrogryposis type 2A (DA2A), is an autosomal dominant condition caused by mutations in MYH3 and characterized by multiple congenital contractures of the face and limbs and normal cognitive development. We identified a subset of five simplex cases putatively diagnosed with \""DA2A with severe neurological abnormalities\"" in which the proband had Congenital Contractures of the LImbs and FAce, Hypotonia, and global Developmental Delay often resulting in early death, a unique condition that we now refer to as CLIFAHDD syndrome. Exome sequencing identified missense mutations in sodium leak channel, nonselective (NALCN) in four families with CLIFAHDD syndrome. Using molecular inversion probes to screen NALCN in a cohort of 202 DA cases as well as concurrent exome sequencing of six other DA cases revealed NALCN mutations in ten additional families with \""atypical\"" forms of DA. All fourteen mutations were missense variants predicted to alter amino acid residues in or near the S5 and S6 pore-forming segments of NALCN, highlighting the functional importance of these segments. In vitro functional studies demonstrated that mutant NALCN nearly abolished the expression of wildtype NALCN, suggesting that mutations that cause CLIFAHDD syndrome have a dominant negative effect. In contrast, homozygosity for mutations in other regions of NALCN has been reported in three families with an autosomal recessive condition characterized mainly by hypotonia and severe intellectual disability. Accordingly, mutations in NALCN can cause either a recessive or dominant condition with varied though overlapping phenotypic features perhaps depending on the type of mutation and affected protein domain(s)."
10.1101/013458,"Translational neuroscience in the field of spinal cord injuries (SCI) faces a strong disproportion between immense preclinical research efforts and a lack of therapeutic approaches successful in human patients: Currently, preclinical research on SCI yields more than 3,000 new publications per year (8,000 when including the whole central nervous system, growing at an exponential rate), whereas none of the resulting therapeutic concepts has led to functional recovery of neural tissue in humans. Improving clinical researchers information access therefore carries the potential to support more effective selection of promising therapy candidates from preclinical studies. Thus, automated information extraction from scientific publications contributes to enabling meta studies and therapy grading by aggregating relevant information from the entire body of previous work on SCI.\n\nWe present SCIE, an automated information extraction pipeline capable of detecting relevant information in SCI publications based on ontological entity and probabilistic relation detection. The input are plain text or PDF documents. As output, the user choses between an online visualization or a machine-readable format. Compared to human gold standard annotations, our system achieves an average extraction performance of 76 % precision and 52 % recall (F1-measure 0.59).\n\nAn instance of the webservice is available at http://scie.sc.cit-ec.uni-bielefeld.de/. SCIE is free software licensed under the AGPL and can be downloaded for local installation at http://opensource.cit-ec.de/projects/scie/."
10.1101/013698,"Genomic instability is a hallmark of cancer and, as such, structural alterations and fusion genes are common events in the cancer landscape. RNA sequencing (RNA-Seq) is a powerful method for profiling cancers, but current methods for identifying fusion genes are optimized for short reads. JAFFA (https://code.google.com/p/jaffa-project/) is a sensitive fusion detection method that clearly out-performs other methods with reads of 100bp or greater. JAFFA compares a cancer transcriptome to the reference transcriptome, rather than the genome, where the cancer transcriptome is inferred using long reads directly or by de novo assembling short reads."
10.1101/013672,"Cancers arise as a result of genetic and epigenetic alterations. These accumulate in cells during the processes of tissue development, homeostasis and repair. Many tumor types are hierarchically organized and driven by a sub-population of cells often called cancer stem cells. Cancer stem cells are uniquely capable of recapitulating the tumor and can be highly resistant to radio-and chemotherapy treatment. We investigate tumor growth patterns from a theoretical standpoint and show how significant changes in pre-and post-therapy tumor dynamics are tied to the dynamics of cancer stem cells. We identify two characteristic growth regimes of a tumor population that can be leveraged to estimate cancer stem cell fractions in vivo using simple linear regression. Our method is a mathematically exact result, parameter free and does not require any microscopic knowledge of the tumor properties. A more accurate quantification of the direct link between the sub-population driving tumor growth and treatment response promises new ways to individualize treatment strategies.\n\nSignificance StatementUnder the cancer stem cell hypothesis a tumor population is driven by a fraction of self-renewing cancer stem cells. Absolute and relative size of this population in human cancers at any stage of the disease remains unknown. We formulate a mathematical model that describes the tumor cell populations growth dynamics and response to therapy. This allows to estimate cancer stem cell fraction from longitudinal measurements of tumor size (often available from imaging). Such estimates are critical because treatment outcome and risk of relapse depend on the tumors capacity to self-renew. Ideally, by tailoring patient treatment strategies based on the relative abundance of cancer stem cells could lead to radically different therapeutic regime and to the successful eradication of the disease."
10.1101/013599,"The human T cell repertoire is complex and is generated by the rearrangement of variable (V), diversity (D) and joining (J) segments on the T cell receptor (TCR) loci. The T cell repertoire demonstrates selfsimilarity in terms clonal frequencies when defined by V, D and J gene segment usage; therefore to determine whether the structural ordering of these gene segments on the TCR loci contributes to the observed clonal frequencies, the TCR loci were examined for self-similarity and periodicity in terms of gene segment organization. Logarithmic transformation of numeric sequence order demonstrated that the V and J gene segments for both T cell receptor  (TRA) and {beta} (TRB) loci were arranged in a selfsimilar manner when the spacing between the adjacent segments was considered as a function of the size of the neighboring gene segment, with an average fractal dimension of 1.5. The ratio of genomic distance between either the J (in TRA) or D (in TRB) segments and successive V segments on these loci declined logarithmically with a slope of similar magnitude. Accounting for the gene segments occurring on helical DNA molecules in a logarithmic distribution, sine and cosine functions of the log transformed angular coordinates of the start and stop nucleotides of successive TCR gene segments showed an ordered progression from the 5 to the 3 end of the locus, supporting a log-periodic organization. T cell clonal frequencies, based on V and J segment usage, from three normal stem cell donors were plotted against the V and J segment on TRB locus and demonstrated a periodic distribution. We hypothesize that this quasi-periodic variation in gene-segment representation in the T cell clonal repertoire may be influenced by the location of the gene segments on the periodic-logarithmically scaled TCR loci. Interactions between the two strands of DNA in the double helix may influence the probability of gene segment usage by means of either constructive or destructive interference resulting from the superposition of the two helices."
