type,set,doc,nrefs,nbiorxiv,nmedrxiv,narxiv,nssrn,nosf,npreprintsorg,nressquare,npreprints
COVID-19,WHO Scientific Briefs,WHO-2019-nCoV-Sci_Brief-Breastfeeding-2020.1-eng.pdf,18,0,1,0,0,0,0,0,1
COVID-19,WHO Scientific Briefs,WHO-2019-nCoV-Sci_Brief-Discharge_From_Isolation-2020.1-eng.pdf,43,0,2,0,0,0,0,0,2
COVID-19,WHO Scientific Briefs,WHO-2019-nCoV-Sci_Brief-EnvironmentalSampling-2020.1-eng.pdf,20,0,5,0,0,0,0,0,5
COVID-19,WHO Scientific Briefs,WHO-2019-nCoV-Sci_Brief-Immunity_passport-2020.1-eng.pdf,21,2,9,0,0,0,0,0,11
COVID-19,WHO Scientific Briefs,WHO-2019-nCoV-Sci_Brief-international_travel_testing-2020.1-eng.pdf,27,0,2,0,0,0,0,0,2
COVID-19,WHO Scientific Briefs,WHO-2019-nCoV-Sci_Brief-Mortality-2020.1-eng.pdf,19,0,0,0,1,0,1,0,2
COVID-19,WHO Scientific Briefs,WHO-2019-nCoV-Sci_Brief-Multisystem_Syndrome_Children-2020.1-eng.pdf,15,0,0,0,0,0,0,0,0
COVID-19,WHO Scientific Briefs,WHO-2019-nCoV-Sci_Brief-NSAIDs-2020.1-eng.pdf,13,0,0,0,0,0,0,0,0
COVID-19,WHO Scientific Briefs,WHO-2019-nCoV-Sci_Brief-Off-label_use-2020.1-eng.pdf,2,0,0,0,0,0,0,0,0
COVID-19,WHO Scientific Briefs,WHO-2019-nCoV-Sci_Brief-POC_immunodiagnostics-2020.1-eng.pdf,16,0,5,0,0,0,0,0,5
COVID-19,WHO Scientific Briefs,WHO-2019-nCoV-Sci_Brief-Smoking-2020.2-eng.pdf,43,0,1,0,0,0,0,0,1
COVID-19,WHO Scientific Briefs,WHO-2019-nCoV-Sci_Brief-Transmission_modes-2020.3-eng.pdf,99,1,10,0,0,0,0,1,12
COVID-19,UK post,antibody tests,35,0,3,0,0,0,0,1,4
COVID-19,UK post,august update,37,2,5,0,0,0,0,0,7
COVID-19,UK post,behaviour,10,0,2,0,0,0,0,0,2
COVID-19,UK post,behaviour interventions,7,0,0,0,0,0,0,0,0
COVID-19,UK post,children,124,0,2,0,0,0,0,0,2
COVID-19,UK post,children update,53,0,4,0,0,0,0,0,4
COVID-19,UK post,contact tracing,54,0,0,0,0,1,0,0,1
COVID-19,UK post,covid children,30,0,4,0,0,0,0,0,4
COVID-19,UK post,Digital divide,88,0,0,0,0,1,0,0,1
COVID-19,UK post,disadvantage gap,53,0,0,0,0,0,0,0,0
COVID-19,UK post,distancing,33,0,0,0,0,0,0,0,0
COVID-19,UK post,domestic abuse,63,0,0,0,0,0,0,0,0
COVID-19,UK post,ethnic groups,81,0,0,0,0,0,0,1,1
COVID-19,UK post,exiting lockdown,63,0,0,0,0,0,0,0,0
COVID-19,UK post,face masks,27,0,1,0,0,0,0,1,2
COVID-19,UK post,food supply,116,0,0,0,0,0,0,0,0
COVID-19,UK post,health effects,102,1,3,0,0,0,0,0,4
COVID-19,UK post,immunity,5,0,0,0,0,0,0,0,0
COVID-19,UK post,july vaccines,68,0,1,0,0,0,0,0,1
COVID-19,UK post,lateral flow test,33,0,1,0,0,0,0,0,1
COVID-19,UK post,mental health,63,0,0,0,0,0,0,0,0
COVID-19,UK post,mental wellbeing,70,0,1,0,0,0,0,0,1
COVID-19,UK post,misinformation,53,0,0,0,0,0,0,0,0
COVID-19,UK post,models 1,10,0,5,0,0,0,0,0,5
COVID-19,UK post,models 2,10,0,0,0,0,0,0,0,0
COVID-19,UK post,Models 3,13,0,0,0,0,0,0,0,0
COVID-19,UK post,occupational risk,49,0,5,0,0,0,0,0,5
COVID-19,UK post,school closures,5,0,0,0,0,0,0,0,0
COVID-19,UK post,test accuracy,16,0,0,0,0,0,0,0,0
COVID-19,UK post,testing,42,0,4,0,0,0,0,0,4
COVID-19,UK post,therapies,59,1,3,0,1,0,0,0,5
COVID-19,UK post,trace behaviour,34,0,1,0,0,0,0,0,1
COVID-19,UK post,tracing apps,72,0,0,1,0,1,0,0,2
COVID-19,UK post,tracing programmes,104,0,2,0,1,0,0,0,3
COVID-19,UK post,vaccine approval,61,0,0,0,0,0,0,0,0
COVID-19,UK post,vaccines,15,0,0,0,0,0,0,0,0
COVID-19,UK post,Wastewater,64,0,0,0,0,0,0,0,0
non-COVID-19,ECDC,AMR-rapid-risk-assessment-outbreak -of-carbapenemase-producing-Enterobacterales-Lithuania.pdf,28,0,0,0,0,0,0,0,0
non-COVID-19,ECDC,antibiotic-resistance-external-quality-assessment-lab-peformance-EARS-Net-2019.pdf,5,0,0,0,0,0,0,0,0
non-COVID-19,ECDC,Avian-influenza-overview-May–August-2020.pdf,9,0,0,0,0,0,0,0,0
non-COVID-19,ECDC,carbapenem-resistant-enterobacteriaceae-risk-assessment-rev-2.pdf,124,0,0,0,0,0,0,0,0
non-COVID-19,ECDC,Community-engagement-during-outbreaks-Shiga-toxin-verocytotxin-producing-E-coli-Ireland.pdf,61,0,0,0,0,0,0,0,0
non-COVID-19,ECDC,community-engagement-guidance.pdf,23,0,0,0,0,0,0,0,0
non-COVID-19,ECDC,fourth-campylobacter-external-quality-assessment.pdf,11,0,0,0,0,0,0,0,0
non-COVID-19,ECDC,hepatitis-C-prevalence-surveys-technical-protocol.pdf,131,0,0,0,0,0,0,0,0
non-COVID-19,ECDC,HIV-pre-exposure-prophylaxis-evidence-2019_0.pdf,11,0,0,0,0,0,0,0,0
non-COVID-19,ECDC,Klebsiella-pneumoniae-resistance-Germany-risk-assessment.pdf,70,0,0,0,0,0,0,0,0
non-COVID-19,ECDC,Listeria-rapid-outbreak-assessment-NL-BE.pdf,10,0,0,0,0,0,0,0,0
non-COVID-19,ECDC,norovirus-community-engagement-institutional-collaboration-Iceland-aug-2017.pdf,67,0,0,0,0,0,0,0,0
non-COVID-19,ECDC,RRA-2jul2019-hajj-mass-gathering.pdf,57,0,0,0,0,0,0,0,0
non-COVID-19,ECDC,RRA-dengue-in-Spain-France_1Oct2019.pdf,38,0,0,0,0,0,0,0,0
non-COVID-19,ECDC,RRA-Ebola-haemorrhagic-fever-Democratic-Republic-Congo-July-2019.pdf,33,0,0,0,0,0,0,0,0
non-COVID-19,ECDC,RRA-Lassa-fever-in-the-Netherlands-ex-Sierra-Leone_0.pdf,26,0,0,0,0,0,0,0,0
non-COVID-19,ECDC,RRA-sexual-transmission-dengue-in-Spain.pdf,26,0,0,0,0,0,0,0,0
non-COVID-19,ECDC,RRA-Zika-France-16-Oct-2019-corrected.pdf,66,0,0,0,0,0,0,0,0
non-COVID-19,ECDC,salmonella-typhimurium-rapid-outbreak-assessment-october-2020.pdf,9,0,0,0,0,0,0,0,0
non-COVID-19,ECDC,seasonal-influenza-vaccines-systematic-review-efficacy.pdf,158,0,0,0,0,0,0,0,0
non-COVID-19,ECDC,update-6-Ebola-haemorrhagic-fever-DRC-7-August-2019.pdf,35,0,0,0,0,0,0,0,0
non-COVID-19,ECDC,vaccine-hesitancy-systematic-scoping-review-social-media.pdf,203,0,0,1,0,0,0,0,1
non-COVID-19,UK post,POST-PN-0585.pdf,137,0,0,0,0,0,0,0,0
non-COVID-19,UK post,POST-PN-0588.pdf,199,0,0,0,0,0,0,0,0
non-COVID-19,UK post,POST-PN-0595.pdf,106,0,0,0,0,0,0,0,0
non-COVID-19,UK post,POST-PN-0597.pdf,65,0,0,0,0,0,0,0,0
non-COVID-19,UK post,POST-PN-0598.pdf,69,0,0,0,0,0,0,0,0
non-COVID-19,UK post,POST-PN-0611.pdf,93,0,0,0,0,0,0,0,0
non-COVID-19,UK post,POST-PN-0619.pdf,309,1,0,0,0,0,0,0,1
non-COVID-19,UK post,POST-PN-0620.pdf,95,0,0,0,0,0,0,0,0
non-COVID-19,UK post,POST-PN-0626.pdf,167,0,0,0,0,0,0,0,0
non-COVID-19,UK post,POST-PN-0627.pdf,136,0,0,0,0,0,0,0,0
non-COVID-19,UK post,POST-PN-0628.pdf,174,0,0,4,0,0,0,0,4
non-COVID-19,UK post,POST-PN-0629.pdf,135,0,0,0,2,0,0,0,2
non-COVID-19,UK post,POST-PN-0630.pdf,141,0,0,0,0,0,0,0,0
non-COVID-19,UK post,POST-PN-0631.pdf,51,0,0,0,1,0,0,0,1
non-COVID-19,UK post,POST-PN-0632.pdf,88,0,0,0,0,0,0,0,0
non-COVID-19,UK post,POST-PN-0633.pdf,134,0,0,7,0,0,0,0,7
