doi,created,title,journal,publisher,times_cited,article_is_oa,journal_is_oa,best_oa_location,best_oa_license
10.1038/s41598-020-59017-z,2020-02-07,Synchronized Biventricular Heart Pacing in a Closed-chest Porcine Model based on Wirelessly Powered Leadless Pacemakers,Scientific Reports,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1186/s12967-020-02324-w,2020-04-06,CT imaging changes of corona virus disease 2019(COVID-19): a multi-center study in Southwest China,Journal of Translational Medicine,Springer Nature,1,TRUE,TRUE,publisher,cc-by
10.1186/s40337-020-00295-3,2020-04-20,Eating disorders in the time of COVID-19,Journal of Eating Disorders,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1186/s41182-020-00206-x,2020-04-10,Is Sub-Saharan Africa prepared for COVID-19?,Tropical Medicine and Health,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1186/s40545-020-00210-w,2020-04-20,Pharmacists at the frontline beating the COVID-19 pandemic,Journal of Pharmaceutical Policy and Practice,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1186/s12874-020-00972-6,2020-04-14,Methodological challenges of analysing COVID-19 data during the pandemic,BMC Medical Research Methodology,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1186/s42077-020-00066-x,2020-04-15,Personal Protection Prior to Preoperative Assessment—Little more an anaesthesiologist can do to prevent SARS-CoV-2 transmission and COVID-19 infection,Ain-Shams Journal of Anesthesiology,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1038/s41598-020-61432-1,2020-03-11,A high ATP concentration enhances the cooperative translocation of the SARS coronavirus helicase nsP13 in the unwinding of duplex RNA,Scientific Reports,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1016/j.fsir.2020.100089,2020-04-12,An Increasing Risk of Family Violence during the Covid-19 Pandemic: Strengthening Community Collaborations to Save Lives,Forensic Science International Reports,Elsevier,0,TRUE,TRUE,publisher,cc-by-nc-nd
10.1186/s12916-020-01533-w,2020-02-28,Q&A: The novel coronavirus outbreak causing COVID-19,BMC Medicine,Springer Nature,13,TRUE,TRUE,publisher,cc-by
10.1186/s12916-020-01556-3,2020-03-18,Coronavirus: the spread of misinformation,BMC Medicine,Springer Nature,5,TRUE,TRUE,publisher,cc-by
10.1186/s13002-020-00366-4,2020-04-21,Baby pangolins on my plate: possible lessons to learn from the COVID-19 pandemic,Journal of Ethnobiology and Ethnomedicine,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1186/s13054-020-02890-x,2020-04-22,Managing COVID-19 in resource-limited settings: critical care considerations,Critical Care,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1080/22221751.2020.1747363,2020-03-31,Transcriptomic characteristics of bronchoalveolar lavage fluid and peripheral blood mononuclear cells in COVID-19 patients,Emerging Microbes & Infections,NA,3,TRUE,TRUE,publisher,NA
10.1038/s41394-020-0271-z,2020-04-07,Let’s conquer COVID-19 and sustain our abilities,Spinal Cord Series and Cases,Springer Nature,0,TRUE,FALSE,publisher,NA
10.1186/s40779-020-00246-8,2020-04-04,Primary stratification and identification of suspected Corona virus disease 2019 (COVID-19) from clinical perspective by a simple scoring proposal,Military Medical Research,Springer Nature,1,TRUE,TRUE,publisher,cc-by
10.1186/s13054-020-02874-x,2020-04-14,The model of epidemic (COVID-19) prevention and control in rural of China,Critical Care,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1186/s12959-020-00220-3,2020-04-20,Thrombosis management in times of COVID-19 epidemy; a Dutch perspective,Thrombosis Journal,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1038/s41421-020-0148-0,2020-02-24,"Phase-adjusted estimation of the number of Coronavirus Disease 2019 cases in Wuhan, China",Cell Discovery,Springer Nature,30,TRUE,TRUE,publisher,cc-by
10.1186/s12978-020-0900-9,2020-04-23,Sexual and reproductive health (SRH): a key issue in the emergency response to the coronavirus disease (COVID- 19) outbreak,Reproductive Health,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1186/s13054-020-02872-z,2020-04-16,Acute kidney injury in SARS-CoV-2 infected patients,Critical Care,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1186/s13054-020-2828-4,2020-03-18,Safe patient transport for COVID-19,Critical Care,Springer Nature,5,TRUE,TRUE,publisher,cc-by
10.1186/s13054-020-02863-0,2020-04-07,Practice of novel method of bedside postpyloric tube placement in patients with coronavirus disease 2019,Critical Care,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1186/s12979-020-00180-2,2020-04-11,Can an effective SARS-CoV-2 vaccine be developed for the older population?,Immunity & Ageing,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1186/s13613-020-00661-z,2020-04-20,Therapeutic strategies for critically ill patients with COVID-19,Annals of Intensive Care,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1186/s40169-020-00271-z,2020-02-20,"2019 novel coronavirus of pneumonia in Wuhan, China: emerging attack and management strategies",Clinical and Translational Medicine,Springer Nature,14,TRUE,TRUE,publisher,cc-by
10.1186/s13054-020-02871-0,2020-04-17,The application of strong matrix management and PDCA cycle in the management of severe COVID-19 patients,Critical Care,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1038/s41394-020-0275-8,2020-04-15,COVID-19 and spinal cord injury and disease: results of an international survey,Spinal Cord Series and Cases,Springer Nature,0,TRUE,FALSE,publisher,NA
10.1186/s13020-020-00317-x,2020-04-15,"Treatment efficacy analysis of traditional Chinese medicine for novel coronavirus pneumonia (COVID-19): an empirical study from Wuhan, Hubei Province, China",Chinese Medicine,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1186/s13054-020-02893-8,2020-04-23,SARS-CoV-2 viral load in sputum correlates with risk of COVID-19 progression,Critical Care,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1186/s13089-020-00171-w,2020-04-21,Sonographic signs and patterns of COVID-19 pneumonia,The Ultrasound Journal,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1186/s40249-020-00640-3,2020-02-28,A mathematical model for simulating the phase-based transmissibility of a novel coronavirus,Infectious Diseases of Poverty,Springer Nature,9,TRUE,TRUE,publisher,cc-by
10.1186/s13643-020-01343-4,2020-04-08,Traditional Chinese herbal medicine for treating novel coronavirus (COVID-19) pneumonia: protocol for a systematic review and meta-analysis,Systematic Reviews,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1186/s13054-020-2814-x,2020-03-09,Preparing for COVID-19: early experience from an intensive care unit in Singapore,Critical Care,Springer Nature,10,TRUE,TRUE,publisher,cc-by
10.1186/s13054-020-2833-7,2020-03-18,Host susceptibility to severe COVID-19 and establishment of a host risk score: findings of 487 cases outside Wuhan,Critical Care,Springer Nature,15,TRUE,TRUE,publisher,cc-by
10.1186/s13054-020-02880-z,2020-04-16,COVID-19 pneumonia: ARDS or not?,Critical Care,Springer Nature,1,TRUE,TRUE,publisher,cc-by
10.1186/s13104-020-05044-y,2020-04-01,The fiscal value of human lives lost from coronavirus disease (COVID-19) in China,BMC Research Notes,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1186/s12931-020-01340-0,2020-03-30,Microbial burden and viral exacerbations in a longitudinal multicenter COPD cohort,Respiratory Research,NA,0,TRUE,TRUE,publisher,cc-by
10.1038/s41598-020-61700-0,2020-03-16,Ginkgolic acid inhibits fusion of enveloped viruses,Scientific Reports,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1186/s12941-020-00358-y,2020-04-24,Successful recovery of COVID-19 pneumonia in a patient from Colombia after receiving chloroquine and clarithromycin,Annals of Clinical Microbiology and Antimicrobials,NA,0,TRUE,TRUE,publisher,cc-by
10.1038/s41368-020-0080-z,2020-04-17,Saliva: potential diagnostic value and transmission of 2019-nCoV,International Journal of Oral Science,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1186/s13578-020-00404-4,2020-03-16,SARS-CoV-2 and COVID-19: The most important research questions,Cell & Bioscience,Springer Nature,17,TRUE,TRUE,publisher,cc-by
10.1038/s41467-019-13940-6,2020-01-10,"Comparative therapeutic efficacy of remdesivir and combination lopinavir, ritonavir, and interferon beta against MERS-CoV",Nature Communications,Springer Nature,105,TRUE,TRUE,publisher,cc-by
10.1186/s13017-020-00307-2,2020-04-07,Surgery in COVID-19 patients: operational directives,World Journal of Emergency Surgery,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1186/s41256-020-00137-4,2020-03-02,First two months of the 2019 Coronavirus Disease (COVID-19) epidemic in China: real-time surveillance and evaluation with a second derivative model,Global Health Research and Policy,Springer Nature,5,TRUE,TRUE,publisher,cc-by
10.1186/s13054-020-2786-x,2020-02-19,"Critical care response to a hospital outbreak of the 2019-nCoV infection in Shenzhen, China",Critical Care,Springer Nature,4,TRUE,TRUE,publisher,cc-by
10.1038/s41421-020-0156-0,2020-03-18,"Hydroxychloroquine, a less toxic derivative of chloroquine, is effective in inhibiting SARS-CoV-2 infection in vitro",Cell Discovery,Springer Nature,50,TRUE,TRUE,publisher,cc-by
10.1038/s41541-020-0170-0,2020-03-06,The outbreak of SARS-CoV-2 pneumonia calls for viral vaccines,npj Vaccines,Springer Nature,6,TRUE,TRUE,publisher,cc-by
10.1186/s12931-020-01338-8,2020-03-26,"Analysis of clinical characteristics and laboratory findings of 95 cases of 2019 novel coronavirus pneumonia in Wuhan, China: a retrospective analysis",Respiratory Research,Springer Nature,4,TRUE,TRUE,publisher,cc-by
10.1038/s41421-020-0153-3,2020-03-16,Network-based drug repurposing for novel coronavirus 2019-nCoV/SARS-CoV-2,Cell Discovery,Springer Nature,22,TRUE,TRUE,publisher,cc-by
10.1186/s13613-020-00653-z,2020-03-30,"The experience of high-flow nasal cannula in hospitalized patients with 2019 novel coronavirus-infected pneumonia in two hospitals of Chongqing, China",Annals of Intensive Care,Springer Nature,2,TRUE,TRUE,publisher,cc-by
10.1186/s13054-020-02891-w,2020-04-22,"Clinical ethics recommendations for the allocation of intensive care treatments in exceptional, resource-limited circumstances: the Italian perspective during the COVID-19 epidemic",Critical Care,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1186/s13014-020-01527-1,2020-04-07,First statement on preparation for the COVID-19 pandemic in large German Speaking University-based radiation oncology departments,Radiation Oncology,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1038/s41392-020-0127-9,2020-02-21,Potential benefits of precise corticosteroids therapy for severe 2019-nCoV pneumonia,Signal Transduction and Targeted Therapy,Springer Nature,6,TRUE,TRUE,publisher,cc-by
10.1186/s13054-020-2840-8,2020-04-15,Prognosis when using extracorporeal membrane oxygenation (ECMO) for critically ill COVID-19 patients in China: a retrospective case series,Critical Care,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1186/s42826-020-00040-6,2020-04-22,Animal models for the risk assessment of viral pandemic potential,Laboratory Animal Research,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1186/s40560-020-00440-9,2020-04-07,Japan ECMOnet for COVID-19: telephone consultations for cases with severe respiratory failure caused by COVID-19,Journal of Intensive Care,Springer Nature,1,TRUE,TRUE,publisher,cc-by
10.1186/s41256-020-00146-3,2020-04-20,Canada’s role in strengthening global health security during the COVID-19 pandemic,Global Health Research and Policy,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1186/s12967-020-02333-9,2020-04-14,Anti-IL6R role in treatment of COVID-19-related ARDS,Journal of Translational Medicine,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1186/s40249-020-00649-8,2020-03-25,Using the spike protein feature to predict infection risk and monitor the evolutionary dynamic of coronavirus,Infectious Diseases of Poverty,Springer Nature,1,TRUE,TRUE,publisher,cc-by
10.1186/s40560-020-00445-4,2020-04-24,Nationwide system to centralize decisions around ECMO use for severe COVID-19 pneumonia in Japan (Special Correspondence),Journal of Intensive Care,NA,0,TRUE,TRUE,publisher,cc-by
10.1186/s41256-020-00135-6,2020-03-02,"The novel coronavirus outbreak in Wuhan, China",Global Health Research and Policy,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1186/s41256-020-00140-9,2020-03-09,The novel coronavirus outbreak: what can be learned from China in public reporting?,Global Health Research and Policy,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1186/s40779-020-0233-6,2020-02-06,A rapid advice guideline for the diagnosis and treatment of 2019 novel coronavirus (2019-nCoV) infected pneumonia (standard version),Military Medical Research,Springer Nature,96,TRUE,TRUE,publisher,cc-by
10.1186/s40662-020-00187-2,2020-04-07,A comprehensive Chinese experience against SARS-CoV-2 in ophthalmology,Eye and Vision,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1186/s12931-020-01352-w,2020-04-15,Prognostic value of NT-proBNP in patients with severe COVID-19,Respiratory Research,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1186/s41077-020-00121-5,2020-04-16,"The use of simulation to prepare and improve responses to infectious disease outbreaks like COVID-19: practical tips and resources from Norway, Denmark, and the UK",Advances in Simulation,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1186/s13054-020-2841-7,2020-03-27,Special attention to nurses’ protection during the COVID-19 epidemic,Critical Care,Springer Nature,3,TRUE,TRUE,publisher,cc-by
10.1080/22221751.2020.1746200,2020-03-31,Renin-angiotensin system inhibitors improve the clinical outcomes of COVID-19 patients with hypertension,Emerging Microbes & Infections,NA,4,TRUE,TRUE,publisher,NA
10.1186/s13054-020-2817-7,2020-03-27,Familial cluster of COVID-19 infection from an asymptomatic,Critical Care,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1186/s13054-020-2836-4,2020-04-02,A novel treatment approach to the novel coronavirus: an argument for the use of therapeutic plasma exchange for fulminant COVID-19,Critical Care,Springer Nature,1,TRUE,TRUE,publisher,cc-by
10.1186/s42522-019-0008-8,2020-02-07,Reproduction of East-African bats may guide risk mitigation for coronavirus spillover,One Health Outlook,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1186/s13054-020-2832-8,2020-03-18,"COVID-19 infection epidemic: the medical management strategies in Heilongjiang Province, China",Critical Care,Springer Nature,2,TRUE,TRUE,publisher,cc-by
10.1186/s12890-020-1082-5,2020-02-13,Respiratory viruses in mechanically ventilated patients: a pilot study,BMC Pulmonary Medicine,Springer Nature,1,TRUE,TRUE,publisher,cc-by
10.1038/s41467-020-16048-4,2020-04-24,Neutralization of SARS-CoV-2 spike pseudotyped virus by recombinant ACE2-Ig,Nature Communications,NA,0,TRUE,TRUE,publisher,cc-by
10.1186/s12978-020-0899-y,2020-04-01,Emerging infectious diseases and outbreaks: implications for women’s reproductive health and rights in resource-poor settings,Reproductive Health,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1186/s40779-020-00245-9,2020-04-04,Updating the diagnostic criteria of COVID-19 “suspected case” and “confirmed case” is necessary,Military Medical Research,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1186/s13054-020-02851-4,2020-04-07,A new clinical trial to test high-dose vitamin C in patients with COVID-19,Critical Care,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1186/s12575-020-00121-9,2020-04-21,Combination of Biodata Mining and Computational Modelling in Identification and Characterization of ORF1ab Polyprotein of SARS-CoV-2 Isolated from Oronasopharynx of an Iranian Patient,Biological Procedures Online,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1186/s13054-020-2818-6,2020-03-16,Treatment of COVID-19: old tricks for new challenges,Critical Care,Springer Nature,7,TRUE,TRUE,publisher,cc-by
10.1186/s12916-020-01577-y,2020-04-09,Medical education during pandemics: a UK perspective,BMC Medicine,Springer Nature,1,TRUE,TRUE,publisher,cc-by
10.1186/s13054-020-02892-9,2020-04-23,High-flow nasal cannula may be no safer than non-invasive positive pressure ventilation for COVID-19 patients,Critical Care,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1186/s40902-020-00256-5,2020-04-24,Being a front-line dentist during the Covid-19 pandemic: a literature review,Maxillofacial Plastic and Reconstructive Surgery,NA,0,TRUE,TRUE,publisher,cc-by
10.1016/j.fsir.2020.100090,2020-04-11,COVID-19 and Pets: When Pandemic Meets Panic,Forensic Science International Reports,Elsevier,0,TRUE,TRUE,publisher,cc-by-nc-nd
10.1186/s41182-020-00203-0,2020-04-14,First COVID-19 infections in the Philippines: a case report,Tropical Medicine and Health,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1186/s13054-020-2824-8,2020-03-16,Coronavirus: just imagine…,Critical Care,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1186/s40249-020-00646-x,2020-03-17,"Epidemiology, causes, clinical manifestation and diagnosis, prevention and control of coronavirus disease (COVID-19) during the early outbreak period: a scoping review",Infectious Diseases of Poverty,Springer Nature,27,TRUE,TRUE,publisher,cc-by
10.1016/j.fsiml.2020.100013,2020-02-26,Caring for persons in detention suffering with mental illness during the Covid-19 outbreak,Forensic Science International Mind and Law,Elsevier,1,TRUE,TRUE,publisher,cc-by-nc-nd
10.1016/j.gsd.2020.100400,2020-04-22,The most eagerly awaited summer of the Anthropocene: A perspective of SARS-CoV-2 decay and seasonal change,Groundwater for Sustainable Development,Elsevier,0,TRUE,FALSE,publisher,NA
10.1146/annurev-virology-012420-022445,2020-03-20,Seasonality of Respiratory Viral Infections,Annual Review of Virology,Annual Reviews,4,TRUE,FALSE,publisher,NA
10.1146/annurev-vi-07-042020-100001,2020-04-21,"Introduction: A New Coronavirus Emerges, This Time Causing a Pandemic",Annual Review of Virology,Annual Reviews,0,TRUE,FALSE,publisher,NA
10.21275/sr20228084927,2020-03-09,Quarantine of UV-Shine Itself Instead of Quarantine Infectious Agent as a Physical Control Method is the only Ever-Known Effective Method for Stopping the Spreading Potential of 2019-nCoV in China and Later Possibly Disseminate to the Global,International Journal of Science and Research (IJSR),International Journal of Science and Research,0,TRUE,TRUE,publisher,NA
10.3343/alm.2020.40.5.351,2020-04-17,Guidelines for Laboratory Diagnosis of Coronavirus Disease 2019 (COVID-19) in Korea.,Annals of Laboratory Medicine,Korean Society for Laboratory Medicine (KAMJE),2,TRUE,TRUE,publisher,cc-by-nc-sa
10.1016/j.chb.2020.106380,2020-04-12,Unpacking the black box: How to promote citizen engagement through government social media during the COVID-19 crisis,Computers in Human Behavior,Elsevier,0,TRUE,FALSE,publisher,NA
10.1016/j.meegid.2020.104327,2020-04-19,Recent progress and challenges in drug development against COVID-19 coronavirus (SARS-CoV-2) - an update on the status,Infection Genetics and Evolution,Elsevier,0,TRUE,FALSE,repository,NA
10.1016/j.jbef.2020.100326,2020-04-08,Death and contagious infectious diseases: Impact of the COVID-19 virus on stock market returns,Journal of Behavioral and Experimental Finance,Elsevier,1,TRUE,FALSE,publisher,NA
10.3343/alm.2020.40.5.351,2020-04-17,Guidelines for Laboratory Diagnosis of Coronavirus Disease 2019 (COVID-19) in Korea.,Annals of Laboratory Medicine,NA,0,TRUE,TRUE,publisher,cc-by-nc-sa
10.1016/j.mehy.2020.109743,2020-04-20,The old but new: Can unfractioned heparin and low molecular weight heparins inhibit proteolytic activation and cellular internalization of SARS-CoV2 by inhibition of host cell proteases?,Medical Hypotheses,Elsevier,0,TRUE,FALSE,repository,NA
10.3343/alm.2020.40.5.349,2020-04-17,COVID-19 Testing in South Korea: Current Status and the Need for Faster Diagnostics.,Annals of Laboratory Medicine,NA,0,TRUE,TRUE,publisher,cc-by-nc-sa
10.3343/alm.2020.40.5.349,2020-04-17,COVID-19 Testing in South Korea: Current Status and the Need for Faster Diagnostics.,Annals of Laboratory Medicine,Korean Society for Laboratory Medicine (KAMJE),0,TRUE,TRUE,publisher,cc-by-nc-sa
10.12788/jhm.3427,2020-04-15,Hospital Medicine Management in the Time of COVID-19: Preparing for a Sprint and a Marathon,Journal of Hospital Medicine,Frontline Medical Communications,0,TRUE,FALSE,publisher,NA
10.33889/ijmems.2020.5.4.052,2020-04-22,Detection of coronavirus Disease (COVID-19) based on Deep Features and Support Vector Machine,International Journal of Mathematical Engineering and Management Sciences,"International Journal of Mathematical, Engineering and Management Sciences plus Mangey Ram",0,TRUE,TRUE,publisher,cc-by
10.1016/j.rvsc.2020.04.009,2020-04-07,COVID-19 from veterinary medicine and one health perspectives: What animal coronaviruses have taught us,Research in Veterinary Science,Elsevier,2,TRUE,FALSE,publisher,NA
10.3201/eid2608.201274,2020-04-23,"Early Release - Coronavirus Disease Outbreak in Call Center, South Korea - Volume 26, Number 8—August 2020 - Emerging Infectious Diseases journal - CDC",Emerging Infectious Diseases,Centers for Disease Control and Prevention (CDC),0,TRUE,TRUE,publisher,cc-by
10.1016/j.scitotenv.2020.138820,2020-04-20,COVID-19 pandemic and environmental pollution: A blessing in disguise?,The Science of The Total Environment,Elsevier,0,TRUE,FALSE,repository,NA
10.1016/j.scitotenv.2020.138882,2020-04-22,"COVID-19 outbreak: Migration, effects on society, global environment and prevention",The Science of The Total Environment,Elsevier,0,TRUE,FALSE,publisher,NA
10.1016/j.ajp.2020.102093,2020-04-10,China adopts non-contact free consultation to help the public cope with the psychological pressure caused by new coronavirus pneumonia,Asian Journal of Psychiatry,Elsevier,0,TRUE,FALSE,publisher,NA
