doi,abstract
10.1101/000091,"Incoherent feedforward loops represent important biomolecular circuit elements capable of a rich set of dynamic behavior including adaptation and pulsed responses. Temperature can modulate some of these properties through its effect on the underlying reaction rate parameters. It is generally unclear how to design such a circuit where the properties are robust to variations in temperature. Here, we address this issue using a combination of tools from control and dynamical systems theory as well as preliminary experimental measurements towards such a design. We formalize temperature as an uncertainty acting on system dynamics, exploring both structured and unstructured uncertainty representations. Next, we analyze a standard incoherent feedforward loop circuit, noting mechanisms that intrinsically confer temperature robustness to some of its properties. Further, we explore different negative feedback configurations that can enhance the robustness to temperature. Finally, we find that the response of an incoherent feedforward loop circuit in cells can change with temperature. These results present groundwork for the design of a temperature-robust incoherent feedforward loop circuit."
10.1101/000430,"We propose a negative feedback architecture that regulates activity of artificial genes, or \""genelets\"", to meet their output downstream demand, achieving robustness with respect to uncertain open-loop output production rates. In particular, we consider the case where the outputs of two genelets interact to form a single assembled product. We show with analysis and experiments that negative autoregulation matches the production and demand of the outputs: the magnitude of the regulatory signal is proportional to the \""error\"" between the circuit output concentration and its actual demand. This two-device system is experimentally implemented using in vitro transcriptional networks, where reactions are systematically designed by optimizing nucleic acid sequences with publicly available software packages. We build a predictive ordinary differential equation (ODE) model that captures the dynamics of the system, and can be used to numerically assess the scalability of this architecture to larger sets of interconnected genes. Finally, with numerical simulations we contrast our negative autoregulation scheme with a cross-activation architecture, which is less scalable and results in slower response times."
10.1101/001008,"Engineering multi-protein genetic systems to maximize their performance remains a combinatorial challenge, particularly when measurement throughput is limited. We have developed a computational design and modeling approach to build predictive models and identify optimal expression levels, while circumventing combinatorial explosion. Maximally informative genetic system variants are first designed by the RBS Library Calculator, an algorithm that optimizes the smallest ribosome binding site library to efficiently search the expression space across a >10,000-fold range with tailored search resolutions, sequence constraints, and well-predicted translation rates. We validated the algorithms predictions using a 644 sequence data-set, within single and multi-protein genetic systems, modifying plasmids and genomes, and in Escherichia coli and Bacillus subtilis. We then combined the search algorithm with kinetic modeling to map the mechanistic relationship between sequence, expression, and overall activity for a 3-enzyme biosynthesis pathway, requiring only 73 measurements to forward design highly productive pathway variants. The combination of sequence desi gn and systems modeling accelerates the optimization of many-protein systems, and allow previous measurements to quantitatively inform future designs."
10.1101/000885,"The many successes of synthetic biology have come in a manner largely different from those in other engineering disciplines; in particular, without well-characterized and simplified prototyping environments to play a role analogous to wind-tunnels in aerodynamics and breadboards in electrical engineering. However, as the complexity of synthetic circuits increases, the benefits--in cost savings and design cycle time--of a more traditional engineering approach can be significant. We have recently developed an in vitro  breadboard prototyping platform based on E. coli cell extract that allows biocircuits to operate in an environment considerably simpler than but functionally similar to in vivo. The simplicity of this system makes it a promising tool for rapid biocircuit design and testing, as well as for probing fundamental aspects of gene circuit operation normally masked by cellular complexity. In this work we characterize the cell-free breadboard using real-time and simultaneous measurements of transcriptional and translational activities of a small set of reporter genes and a transcriptional activation cascade. We determine the effects of promoter strength, gene concentration, and nucleoside triphosphate concentration on biocircuit properties, and we isolate the specific contributions of essential biomolecular resources--core RNA polymerase and ribosomes--to overall performance. Importantly, we show how limits on resources, particularly those involved in translation, are manifested as reduced expression in the presence of orthogonal genes that serve as additional loads on the system."
10.1101/000448,"As a field, synthetic biology strives to engineer increasingly complex artificial systems in living cells. Active feedback in closed loop systems offers a dynamic and adaptive way to ensure constant relative activity independent of intrinsic and extrinsic noise. In this work, we design, model, and implement a biomolecular concentration tracker, in which an output protein tracks the concentration of an input protein. Synthetic modular protein scaffold domains are used to colocalize a two-component system, and a single negative feedback loop modulates the production of the output protein. Using a combination of model and experimental work, we show that the circuit achieves real-time protein concentration tracking in Escherichia coli and that steady state outputs can be tuned."
10.1101/000455,"BackgroundDuring early development, neural circuits fire spontaneously, generating activity episodes with complex spatiotemporal patterns. Recordings of spontaneous activity have been made in many parts of the nervous system over the last 25 years, reporting developmental changes in activity patterns and the effects of various genetic perturbations.\n\nResultsWe present a curated repository of multielectrode array recordings of spontaneous activity in developing mouse and ferret retina. The data have been annotated with minimal metadata and converted into HDF5. This paper describes the structure of the data, along with examples of reproducible research using these data files. We also demonstrate how these data can be analysed in the CARMEN workflow system. This article is written as a literate programming document; all programs and data described here are freely available.\n\nConclusions1. We hope this repository will lead to novel analysis of spontaneous activity recorded in different laboratories. 2. We encourage published data to be added to the repository. 3. This repository serves as an example of how multielectrode array recordings can be stored for long-term reuse."
10.1101/000067,"Many DNA sequence variants influence phenotypes by altering gene expression. Our understanding of these variants is limited by sample sizes of current studies and by measurements of mRNA rather than protein abundance. We developed a powerful method for identifying genetic loci that influence protein expression in very large populations of the yeast Saccharomyes cerevisiae. The method measures single-cell protein abundance through the use of green-fluorescent-protein tags. We applied this method to 160 genes and detected many more loci per gene than previous studies. We also observed closer correspondence between loci that influence protein abundance and loci that influence mRNA abundance of a given gene. Most loci cluster at hotspot locations that influence multiple proteins--in some cases, more than half of those examined. The variants that underlie these hotspots have profound effects on the gene regulatory network and provide insights into genetic variation in cell physiology between yeast strains."
10.1101/000265,"Mutational robustness is the extent to which an organism has evolved to withstand the effects of deleterious mutations. We explored the extent of mutational robustness in the budding yeast by genome wide dosage suppressor analysis of 53 conditional lethal mutations in cell division cycle and RNA synthesis related genes, revealing 660 suppressor interactions of which 642 are novel. This collection has several distinctive features, including high co-occurrence of mutant-suppressor pairs within protein modules, highly correlated functions between the pairs, and higher diversity of functions among the co-suppressors than previously observed. Dosage suppression of essential genes encoding RNA polymerase subunits and chromosome cohesion complex suggest a surprising degree of functional plasticity of macromolecular complexes and the existence of degenerate pathways for circumventing potentially lethal mutations. The utility of dosage-suppressor networks is illustrated by the discovery of a novel connection between chromosome cohesion-condensation pathways involving homologous recombination, and Huntingtons disease."
10.1101/000216,"BackgroundThe availability of open access genomic data is essential for the personal genomics field. Public genomic data allow comparative analyses, testing of new tools and genotype-phenotype association studies. Personal genomics data of unrelated individuals are available in the public domain, notably the Personal Genome Project; however, to date genomics family data and metadata are severely lacking, mainly due to cost, privacy concerns or restricted access to Next Generation Sequencing (NGS) technology. Family data have a lot to offer as they allow the study of heritability, something which is impossible to do just by using unrelated individuals.\n\nFindingsA whole family from Southern Spain decided to genotype, sequence and analyse their personal genomes making them publicly available under a Creative Commons 0 license (CC0; commonly denominated as public domain). These data include a) five 23andMe SNP chip genotype bed files, b) four raw exomes with their assorted bam files and VCF files, c) a metagenomic raw sequencing data file and d) derived data of likely phenotypes using SNPedia-derived tools.\n\nConclusionsTo our knowledge this is the first CC0 released set of genomic, phenotypic and metagenomic data for a whole family. This dataset is also unique in that it was obtained through direct-to-consumer genetic tests. Hence any ordinary citizen with enough budget and samples should be able to reproduce this experiment. We envisage this dataset to be a useful resource for a variety of applications in the personal genomics field as a) negative control data for trait association discovery, b) testing data for development of new software and c) sample data for heritability studies. We encourage prospective users to share with us derived results so that they can be added to our existing collection."
10.1101/000315,"Dysregulated microRNA (miRNA) expression is a well-established feature of human cancer. However, the role of specific miRNAs in determining cancer outcomes remains unclear. Using Level 3 expression data from the Cancer Genome Atlas (TCGA), we identified 61 miRNAs that are associated with overall survival in 469 ovarian cancers profiled by microarray (p<0.01). We also identified 12 miRNAs that are associated with survival when miRNAs were profiled in the same specimens using Next Generation Sequencing (miRNA-Seq) (p<0.01). Surprisingly, only 1 miRNA transcript is associated with ovarian cancer survival in both datasets. Our analyses indicate that this discrepancy is due to the fact that miRNA levels reported by the two platforms correlate poorly, even after correcting for potential issues inherent to signal detection algorithms. Further investigation is warranted."
10.1101/000752,"Annotations of gene structures and regulatory elements can inform genome-wide association studies (GWAS). However, choosing the relevant annotations for interpreting an association study of a given trait remains challenging. We describe a statistical model that uses association statistics computed across the genome to identify classes of genomic element that are enriched or depleted for loci that influence a trait. The model naturally incorporates multiple types of annotations. We applied the model to GWAS of 18 human traits, including red blood cell traits, platelet traits, glucose levels, lipid levels, height, BMI, and Crohns disease. For each trait, we evaluated the relevance of 450 different genomic annotations, including protein-coding genes, enhancers, and DNase-I hypersensitive sites in over a hundred tissues and cell lines. We show that the fraction of phenotype-associated SNPs that influence protein sequence ranges from around 2% (for platelet volume) up to around 20% (for LDL cholesterol); that repressed chromatin is significantly depleted for SNPs associated with several traits; and that cell type-specific DNase-I hypersensitive sites are enriched for SNPs associated with several traits (for example, the spleen in platelet volume). Finally, by re-weighting each GWAS using information from functional genomics, we increase the number of loci with high-confidence associations by around 5%."
10.1101/000364,"Sampling is a fundamental tool in ecology and critical for biodiversity measurement. However, basic principles of biodiversity sampling have been overlooked for many years. In this paper, I proposed and explored five principles of sampling for a specific area and biodiversity study. The first principle of sampling, species increasing with area, is that the number of species increases with the area. The second principle of sampling, individuals increasing with area, is that the number of individuals increases with the area. The third principle of sampling, sum of species number, is that the sum of species number in one area and species number in another area is no less than the total species number in the two areas. The fourth principle of sampling, individual complement, is that the sum of the mathematical expectation of individual number of one or several species in the area a and that of the same one or several species in the area A-a is the total individual number N of the same one or several species in the total area A. The fifth principle of sampling, species-area theory, is that the sum of the mathematical expectation of number of species in the area a and that of number of species lost if area A-a is cleared is the total species number M in the total area A."
10.1101/000158,"We describe the development and application of a Bayesian statistical model for the prior probability of phenotype-genotype association that incorporates data from past association studies and publicly available functional annotation data regarding the susceptibility variants under study. The model takes the form of a binary regression of association status on a set of annotation variables whose coefficients were estimated through an analysis of associated SNPs housed in the GWAS Catalog (GC). The set of functional predictors we examined includes measures that have been demonstrated to correlate with the association status of SNPs in the GC and some whose utility in this regard is speculative: summaries of the UCSC Human Genome Browser ENCODE super-track data, dbSNP function class, sequence conservation summaries, proximity to genomic variants included in the Database of Genomic Variants (DGV) and known regulatory elements included in the Open Regulatory Annotation database (ORegAnno), PolyPhen-2 probabilities and RegulomeDB categories. Because we expected that only a fraction of the annotation variables would contribute to predicting association, we employed a penalized likelihood method to reduce the impact of non-informative predictors and evaluated the models ability to predict GC SNPs not used to construct the model. We show that the functional data alone are predictive of a SNPs presence in the GC. Further, using data from a genome-wide study of ovarian cancer, we demonstrate that their use as prior data when testing for association is practical at the genome-wide scale and improves power to detect associations."
10.1101/000489,"Understanding complex mammalian biology depends crucially on our ability to define a precise map of all the transcripts encoded in a genome, and to measure their relative abundances. A promising assay depends on RNASeq approaches, which builds on next generation sequencing pipelines capable of interrogating cDNAs extracted from a cell. The underlying pipeline starts with base-calling, collect the sequence reads and interpret the raw-read in terms of transcripts that are grouped with respect to different splice-variant isoforms of a messenger RNA. We address a very basic problem involved in all of these pipeline, namely accurate Bayesian base-calling, which could combine the analog intensity data with suitable underlying priors on base-composition in the transcripts. In the context of sequencing genomic DNA, a powerful approach for base-calling has been developed in the TotalReCaller pipeline. For these purposes, it uses a suitable reference whole-genome sequence in a compressed self-indexed format to derive its priors. However, TotalReCaller faces many new challenges in the transcriptomic domain, especially since we still lack a fully annotated library of all possible transcripts, and hence a sufficiently good prior. There are many possible solutions, similar to the ones developed for TotalReCaller, in applications addressing de novo sequencing and assembly, where partial contigs or string-graphs could be used to boot-strap the Bayesian priors on base-composition. A similar approach would be applicable here too, partial assembly of transcripts can be used to characterize the splicing junctions or organize them in incompatibility graphs and then used as priors for TotalReCaller. The key algorithmic techniques for this purpose have been addressed in a forthcoming paper on Stringomics. Here, we address a related but fundamental problem, by assuming that we only have a reference genome, with certain intervals marked as candidate regions for ORF (Open Reading Frames), but not necessarily complete annotations regarding the 5 or 3 termini of a gene or its exon-intron structure. The algorithms we describe find the most accurate base-calls of a cDNA with the best possible segmentation, all mapped to the genome appropriately."
10.1101/000497,"Gene regulatory networks are commonly used for modeling biological processes and revealing underlying molecular mechanisms. The reconstruction of gene regulatory networks from observational data is a challenging task, especially, considering the large number of involved players (e.g. genes) and much fewer biological replicates available for analysis. Herein, we proposed a new statistical method of estimating the number of erroneous edges that strongly enhances the commonly used inference approaches. This method is based on special relationship between correlation and causality, and allows to identify and to remove approximately half of erroneous edges. Using the mathematical model of Bayesian networks and positive correlation inequalities we established a mathematical foundation for our method. Analyzing real biological datasets, we found a strong correlation between the results of our method and the commonly used false discovery rate (FDR) technique. Furthermore, the simulation analysis demonstrates that in large networks, our new method provides a more precise estimation of the proportion of erroneous links than FDR."
10.1101/000851,"In the recent paper [1] (thereafter referred to as \""TopHat2paper\"") the accuracy of TopHat2 was compared to other RNA-seq aligners. In this comment we re-examine most important analyses from the TopHat2paper and identify several deficiencies that significantly diminished performance of some of the aligners, including incorrect choice of mapping parameters, unfair comparison metrics, and unrealistic simulated data. Using STAR [2] as an exemplar, we demonstrate that correcting these deficiencies makes its accuracy equal or better than that of TopHat2. Furthermore, this exercise highlighted some serious issues with the TopHat2 algorithms, such as poor recall of alignments with a moderate (>3) number of mismatches, low sensitivity and high false discovery rate for splice junction detection, loss of precision for the realignment algorithm, and large number of false chimeric alignments. ..."
10.1101/000919,"Existing techniques to reconstruct tree models of progression for accumulative processes, such as cancer, seek to estimate causation by combining correlation and a frequentist notion of temporal priority. In this paper, we define a novel theoretical framework called CAPRESE (CAncer PRogression Extraction with Single Edges) to reconstruct such models based on the notion of probabilistic causation defined by Suppes. We consider a general reconstruction setting complicated by the presence of noise in the data due to biological variation, as well as experimental or measurement errors. To improve tolerance to noise we define and use a shrinkage-like estimator. We prove the correctness of our algorithm by showing asymptotic convergence to the correct tree under mild constraints on the level of noise. Moreover, on synthetic data, we show that our approach outperforms the state-of-the-art, that it is efficient even with a relatively small number of samples and that its performance quickly converges to its asymptote as the number of samples increases. For real cancer datasets obtained with different technologies, we highlight biologically significant differences in the progressions inferred with respect to other competing techniques and we also show how to validate conjectured biological relations with progression models."
10.1101/001024,"Pausing of DNA polymerase can indicate the presence of a DNA structure that differs from the canonical double-helix. Here we detail a method to investigate how polymerase pausing in the Pacific Biosciences sequencer reads can be related to DNA structure. The Pacific Biosciences sequencer uses optics to view a polymerase and its interaction with a single DNA molecule in real-time, offering a unique way to detect potential alternative DNA structures. We have developed a new way to examine polymerase kinetics and relate it to the DNA sequence by using a wavelet transform of read information from the sequencer. We use this method to examine how polymerase kinetics are related to nucleotide base composition. We then examine tandem repeat sequences known for their ability to form different DNA structures: (CGG)n and (CG)n repeats which can, respectively, form G-quadruplex DNA and Z-DNA. We find pausing around the (CGG)n repeat that may indicate the presence of G-quadruplexes in some of the sequencer reads. The (CG)n repeat does not appear to cause polymerase pausing, but its kinetics signature nevertheless suggests the possibility that alternative nucleotide conformations may sometimes be present. We discuss the implications of using our method to discover DNA sequences capable of forming alternative structures. The analyses presented here can be reproduced on any Pacific Biosciences kinetics data for any DNA pattern of interest using an R package that we have made publicly available.\n\nAuthor SummaryDNA can be found in various forms that differ from the double-helix first discovered by Watson and Crick in 1953. These alternative DNA structures depend on the DNA sequence, and researchers continue to explore which sequences have the potential to form alternative structures. Here we advance the use of Pacific Biosciences sequencer data to explore potential alternative DNA structures. The Pacific Bio-sciences sequencer provides an unprecedented way to examine the interaction between DNA polymerase and DNA by following a single polymerase in real time as it copies a DNA molecule. The pausing of DNA polymerase is a common method for exploring the DNA sequences that have the potential to form alternative DNA structures, and Pacific Biosciences data has previously been used to measure polymerase pausing at a slipped strand structure. DNA polymerase is known to pause at some of these alternative structures, such as the structure known as the G-quadruplex, a DNA structure that has potentially importing regulatory significance. We examine polymerase kinetics around a G-quadruplex, and find evidence of polymerase pausing in the Pacific Biosciences kinetics. We provide a method, with publicly available code, so that others can examine these polymerase kinetics for any sequence of interest."
10.1101/000349,"In this paper, models for understanding bird roosting will be considered for purposes of developing better Artificial Life models of complex behavior. Roosting involves multiple flocks of birds picking a single tree limb to rest on for the night, and can be considered an iterative, time-dependent process that unfolds over a 45-minute interval roughly corresponding to twilight. Two models will be used to better understand the main components of this behavior. The constrained dynamics model, which represents continuous random absorption on a one-dimensional lattice, will be used to characterize the dynamics of crowding in the tree structure over time. A second approach involves the relationships between complex networks and roosting behaviors, in particular the evolution of structured networks via rules of incorporation and interaction. Finally, the percolation model will be proposed as a way to bridge behaviors explained by the constrained dynamics and complex network models."
10.1101/001594,"Dwarfism is a condition characterized by shorter stature, at times accompanied by differential skeletal growth pro-portions relative to the species-typical physical conformation. Causes vary and well-documented in humans as well as certain mammalian species in captive or laboratory conditions, but rarely observed in the wild. Here we report on a single case of apparent dwarfism in a free-ranging adult male Asian elephant (Elephas maximus) in Sri Lanka, comparing physical dimensions to those of other males in the same population, males in other populations, and records in previous literature. The subject was found to have a shoulder height of approximately 195cm, is shorter than the average height of typical mature males, with a body length of 218cm. This ratio of body length to height deviates from what is typically observed, which is approximately 1:1. In absolute height the subject was similar to the attributes of a captive elephant documented in 1955 in Sri Lanka, also said to be a dwarf, however the two specimens differed in the relative proportions of height vs. body length. The subject also exhibits a slight elongation of the skull. We discuss how this phenotype compares to cases of dwarfism in other non-human animals."
10.1101/000380,"Graphical Abstract\n\nO_FIG O_LINKSMALLFIG WIDTH=200 HEIGHT=37 SRC=\""FIGDIR/small/000380_ufig1.gif\"" ALT=\""Figure 1\"">\nView larger version (14K):\norg.highwire.dtl.DTLVardef@197f26org.highwire.dtl.DTLVardef@1eac3f3org.highwire.dtl.DTLVardef@1e698f1org.highwire.dtl.DTLVardef@42fb4b_HPS_FORMAT_FIGEXP  M_FIG C_FIG HighlightsO_LIWe model the cholesterol biosynthesis pathway and its regulation\nC_LIO_LIThe innate immune response leads to a suppression of flux through the pathway\nC_LIO_LIStatin inhibitors show a different mode of suppression to the immune response\nC_LIO_LIStatin inhibitor suppression is less robust and less specific than immune suppression\nC_LI\n\nAsbtractThe cholesterol biosynthesis pathway has recently been shown to play an important role in the innate immune response to viral infection with host protection occurring through a coordinate down regulation of the enzymes catalyzing each metabolic step. In contrast, statin based drugs, which form the principle pharmaceutical agents for decreasing the activity of this pathway, target a single enzyme. Here, we build an ordinary differential equation model of the cholesterol biosynthesis pathway in order to investigate how the two regulatory strategies impact upon the behaviour of the pathway. We employ a modest set of assumptions: that the pathway operates away from saturation, that each metabolite is involved in multiple cellular interactions and that mRNA levels reflect enzyme concentrations. Using data taken from primary bone marrow derived macrophage cells infected with murine cytomegalovirus infection or treated with IFN{gamma}, we show that, under these assumptions, coordinate down regulation of enzyme activity imparts a graduated reduction in flux along the pathway. In contrast, modelling a statin-like treatment that achieves the same degree of down-regulation in cholesterol production, we show that this delivers a step change in flux along the pathway. The graduated reduction mediated by physiological coordinate regulation of multiple enzymes supports a mechanism that allows a greater level of specificity, altering cholesterol levels with less impact upon interactions branching from the pathway, than pharmacological step reductions. We argue that coordinate regulation is likely to show a long-term evolutionary advantage over single enzyme regulation. Finally, the results from our models have implications for future pharmaceutical therapies intended to target cholesterol production with greater specificity and fewer off target effects, suggesting that this can be achieved by mimicking the coordinated down-regulation observed in immunological responses."
10.1101/000562,"Molecular systems are uncertain: the variability of reaction parameters and the presence of unknown interactions can weaken the predictive capacity of solid mathematical models. However, strong conclusions on the admissible dynamic behaviors of a model can often be achieved without detailed knowledge of its specific parameters. In particular, starting with Thomas' conjectures, loop-based criteria have been largely used to characterize oscillatory and multistationary dynamic outcomes in systems with a sign definite Jacobian.\n\nWe build on the rich literature focused on the identification of potential oscillatory and multistationary behaviors based on parameter-free criteria. We propose a classification for sign-definite non autocatalytic biological networks which summarize several existing results in the literature, adding new results when necessary. We define candidate oscillators and multistationary systems based on their admissible transitions to instability. We introduce four categories: strong/weak candidate oscillatory/multistationary systems, which correspond to networks in which all/some of the existing feedback loops are negative/positive. We provide necessary and sufficient conditions characterizing strong and weak candidate oscillators and multistationary systems based on the exclusive or simultaneous presence of positive and negative loops in their linearized dynamics. We also consider the case in which the overall system is the connection of several stable aggregate monotone components, providing conditions in terms of positive/negative loops in a suitable network with aggregate monotone systems as nodes.\n\nMost realistic examples of biological networks fall in the gray area of systems in which both positive and negative cycles are present: therefore, both oscillatory and bistable behavior are in principle possible. Native systems with a large number of components are often interconnections of monotone modules, where negative/positive loops among modules characterize oscillatory and bistable behaviors, in agreement with our results. Finally, we note that many canonical example circuits exhibiting oscillations or bistability fall in the categories of strong candidate oscillators/multistationary systems."
