source,doi,posted_date,covid_preprint,score,tweets,blogs,news,wikipedia
bioRxiv,10.1101/2020.01.03.893875,2020-01-03,FALSE,8.434,4,1,0,0
bioRxiv,10.1101/2020.01.02.892364,2020-01-03,FALSE,2.25,8,0,0,0
bioRxiv,10.1101/2020.01.03.894386,2020-01-03,FALSE,0.75,3,0,0,0
bioRxiv,10.1101/2020.01.03.893982,2020-01-03,FALSE,13.8,25,0,0,0
bioRxiv,10.1101/2020.01.03.894196,2020-01-03,FALSE,5.6,11,0,0,0
bioRxiv,10.1101/2020.01.02.893446,2020-01-03,FALSE,7.83,3,1,0,0
bioRxiv,10.1101/2020.01.03.894030,2020-01-03,FALSE,0.5,2,0,0,0
bioRxiv,10.1101/2020.01.03.894220,2020-01-03,FALSE,1,4,0,0,0
bioRxiv,10.1101/2020.01.02.893495,2020-01-03,FALSE,6.6,15,0,0,0
bioRxiv,10.1101/2020.01.03.894303,2020-01-03,FALSE,2,6,0,0,0
bioRxiv,10.1101/2020.01.03.892737,2020-01-03,FALSE,0.75,3,0,0,0
bioRxiv,10.1101/2020.01.03.892810,2020-01-03,FALSE,6.9,11,0,0,0
bioRxiv,10.1101/2020.01.02.893370,2020-01-03,FALSE,1,4,0,0,0
bioRxiv,10.1101/2020.01.03.894071,2020-01-03,FALSE,4.2,9,0,0,0
bioRxiv,10.1101/2020.01.03.893958,2020-01-03,FALSE,3.5,5,0,0,0
bioRxiv,10.1101/2020.01.03.892703,2020-01-03,FALSE,4.85,9,0,0,0
bioRxiv,10.1101/2020.01.03.894048,2020-01-03,FALSE,2,5,0,0,0
bioRxiv,10.1101/2020.01.03.893917,2020-01-03,FALSE,22.3,35,0,0,0
bioRxiv,10.1101/2020.01.03.894113,2020-01-03,FALSE,13.1,21,0,0,0
medRxiv,10.1101/2020.01.03.20016436,2020-01-06,FALSE,0.75,3,0,0,0
medRxiv,10.1101/2020.01.03.20016345,2020-01-06,FALSE,8.4,13,0,0,0
medRxiv,10.1101/2020.01.02.20016352,2020-01-06,FALSE,0.25,1,0,0,0
medRxiv,10.1101/2019.12.27.19016006,2020-01-06,FALSE,17.7,26,0,0,0
bioRxiv,10.1101/2020.01.05.895086,2020-01-06,FALSE,1.5,6,0,0,0
bioRxiv,10.1101/2020.01.03.893818,2020-01-03,FALSE,4.2,9,0,0,0
bioRxiv,10.1101/2020.01.03.894493,2020-01-03,FALSE,11.284,10,1,0,0
bioRxiv,10.1101/2020.01.03.894394,2020-01-03,FALSE,8.45,15,0,0,0
bioRxiv,10.1101/2020.01.03.894055,2020-01-03,FALSE,10.884,7,1,0,0
bioRxiv,10.1101/2020.01.03.894501,2020-01-04,FALSE,1.75,4,0,0,0
bioRxiv,10.1101/2020.01.03.894410,2020-01-04,FALSE,11.85,20,0,0,0
bioRxiv,10.1101/2020.01.03.894170,2020-01-04,FALSE,9.434,5,1,0,0
bioRxiv,10.1101/2020.01.03.893784,2020-01-03,FALSE,10.85,20,0,0,0
bioRxiv,10.1101/2020.01.03.894519,2020-01-03,FALSE,13.984,12,1,0,0
bioRxiv,10.1101/2020.01.03.893792,2020-01-03,FALSE,1.75,3,0,0,0
bioRxiv,10.1101/2020.01.03.893800,2020-01-03,FALSE,0.75,3,0,0,0
bioRxiv,10.1101/2020.01.05.893206,2020-01-05,FALSE,10,18,0,0,0
bioRxiv,10.1101/2020.01.04.894808,2020-01-05,FALSE,10.7,19,0,0,0
bioRxiv,10.1101/2020.01.01.892281,2020-01-02,FALSE,1.5,5,0,0,0
bioRxiv,10.1101/2020.01.03.894485,2020-01-05,FALSE,5.1,10,0,0,0
bioRxiv,10.1101/2020.01.03.893776,2020-01-03,FALSE,10.184,8,1,0,0
bioRxiv,10.1101/2020.01.02.890657,2020-01-03,FALSE,18.7,35,0,0,0
bioRxiv,10.1101/2020.01.03.893768,2020-01-03,FALSE,0.75,3,0,0,0
bioRxiv,10.1101/2020.01.01.891432,2020-01-02,FALSE,1.75,6,0,0,0
bioRxiv,10.1101/2020.01.03.894543,2020-01-05,FALSE,4.1,10,0,0,0
bioRxiv,10.1101/2020.01.03.894279,2020-01-03,FALSE,5.8,13,0,0,0
bioRxiv,10.1101/2020.01.03.893305,2020-01-03,FALSE,32.05,55,0,0,0
bioRxiv,10.1101/2020.01.01.890798,2020-01-02,FALSE,5.6,11,0,0,0
bioRxiv,10.1101/2020.01.02.892729,2020-01-02,FALSE,1.25,2,0,0,0
bioRxiv,10.1101/2020.01.02.892711,2020-01-02,FALSE,3.1,6,0,0,0
bioRxiv,10.1101/2020.01.02.893479,2020-01-03,FALSE,1.25,4,0,0,0
bioRxiv,10.1101/2020.01.04.890624,2020-01-06,FALSE,14.15,27,0,0,0
bioRxiv,10.1101/2020.01.06.894576,2020-01-06,FALSE,17.9,36,0,0,0
bioRxiv,10.1101/2020.01.05.893719,2020-01-06,FALSE,2,5,0,0,0
bioRxiv,10.1101/2020.01.05.890483,2020-01-06,FALSE,11.5,20,0,0,0
bioRxiv,10.1101/2020.01.03.894527,2020-01-06,FALSE,14.85,27,0,0,0
bioRxiv,10.1101/2020.01.06.892497,2020-01-06,FALSE,3.5,7,0,0,0
bioRxiv,10.1101/2020.01.05.894931,2020-01-06,FALSE,1.25,5,0,0,0
bioRxiv,10.1101/2020.01.04.894774,2020-01-06,FALSE,6.7,13,0,0,0
bioRxiv,10.1101/2020.01.03.894683,2020-01-06,FALSE,0.75,3,0,0,0
bioRxiv,10.1101/2020.01.06.895722,2020-01-06,FALSE,1.25,5,0,0,0
bioRxiv,10.1101/2020.01.04.894915,2020-01-06,FALSE,6.95,13,0,0,0
bioRxiv,10.1101/2020.01.06.895847,2020-01-06,FALSE,17.034,16,1,0,0
bioRxiv,10.1101/2020.01.06.895854,2020-01-06,FALSE,5.1,12,0,0,0
bioRxiv,10.1101/2020.01.06.894840,2020-01-06,FALSE,16.75,5,0,2,0
bioRxiv,10.1101/2020.01.03.894709,2020-01-06,FALSE,0.5,2,0,0,0
bioRxiv,10.1101/2020.01.04.894980,2020-01-06,FALSE,5.1,13,0,0,0
bioRxiv,10.1101/2020.01.06.895839,2020-01-06,FALSE,6.55,11,0,0,0
bioRxiv,10.1101/2020.01.06.895425,2020-01-06,FALSE,27.15,45,0,0,0
bioRxiv,10.1101/2020.01.05.895235,2020-01-06,FALSE,26.7,48,0,0,0
bioRxiv,10.1101/2020.01.04.894998,2020-01-06,FALSE,0.5,2,0,0,0
bioRxiv,10.1101/2020.01.06.895243,2020-01-06,FALSE,12.45,21,0,0,0
bioRxiv,10.1101/2020.01.05.895201,2020-01-06,FALSE,2.75,8,0,0,0
bioRxiv,10.1101/2020.01.04.894824,2020-01-06,FALSE,6.05,9,0,0,0
bioRxiv,10.1101/2020.01.06.896159,2020-01-06,FALSE,68.3,125,0,0,0
bioRxiv,10.1101/2020.01.04.894816,2020-01-06,FALSE,1.85,5,0,0,0
bioRxiv,10.1101/2020.01.05.895078,2020-01-06,FALSE,9.184,4,1,0,0
bioRxiv,10.1101/2020.01.05.895169,2020-01-06,FALSE,7.6,15,0,0,0
bioRxiv,10.1101/2020.01.05.895177,2020-01-06,FALSE,39.31,52,2,0,0
bioRxiv,10.1101/2020.01.05.895227,2020-01-06,FALSE,10.35,20,0,0,0
bioRxiv,10.1101/2020.01.06.895524,2020-01-06,FALSE,14.9,26,0,0,0
bioRxiv,10.1101/2020.01.05.895052,2020-01-06,FALSE,8.534,3,1,0,0
bioRxiv,10.1101/2020.01.05.895433,2020-01-06,FALSE,11.15,21,0,0,0
bioRxiv,10.1101/2020.01.05.895219,2020-01-06,FALSE,2.6,5,0,0,0
bioRxiv,10.1101/2020.01.06.895821,2020-01-06,FALSE,13.25,21,0,0,0
bioRxiv,10.1101/2020.01.06.896100,2020-01-06,FALSE,8.184,4,1,0,0
bioRxiv,10.1101/2020.01.03.894477,2020-01-06,FALSE,3.1,7,0,0,0
bioRxiv,10.1101/2020.01.06.895664,2020-01-06,FALSE,0.5,2,0,0,0
bioRxiv,10.1101/2020.01.03.894451,2020-01-06,FALSE,0.5,2,0,0,0
bioRxiv,10.1101/2020.01.05.895029,2020-01-06,FALSE,13.35,20,0,0,0
bioRxiv,10.1101/2020.01.03.894691,2020-01-06,FALSE,1.5,5,0,0,0
bioRxiv,10.1101/2020.01.06.895367,2020-01-06,FALSE,34.8,63,0,0,0
bioRxiv,10.1101/2020.01.03.894444,2020-01-06,FALSE,16.15,35,0,0,0
bioRxiv,10.1101/2020.01.06.891127,2020-01-06,FALSE,9.3,19,0,0,0
bioRxiv,10.1101/2020.01.04.894873,2020-01-06,FALSE,2.25,5,0,0,0
bioRxiv,10.1101/2020.01.06.895698,2020-01-06,FALSE,1.25,4,0,0,0
bioRxiv,10.1101/2020.01.04.894782,2020-01-06,FALSE,7.3,10,0,0,0
bioRxiv,10.1101/2020.01.06.895615,2020-01-06,FALSE,7,17,0,0,0
bioRxiv,10.1101/2020.01.06.895680,2020-01-06,FALSE,6.6,14,0,0,0
bioRxiv,10.1101/2020.01.05.895359,2020-01-06,FALSE,19.88,22,1,0,0
bioRxiv,10.1101/2020.01.04.893909,2020-01-06,FALSE,23.5,41,0,0,0
bioRxiv,10.1101/2020.01.06.895540,2020-01-06,FALSE,8.5,16,0,0,0
bioRxiv,10.1101/2020.01.06.894147,2020-01-06,FALSE,2.7,5,0,0,0
bioRxiv,10.1101/2020.01.06.895532,2020-01-06,FALSE,5.85,13,0,0,0
bioRxiv,10.1101/2020.01.04.894725,2020-01-06,FALSE,0.75,3,0,0,0
bioRxiv,10.1101/2020.01.06.895789,2020-01-06,FALSE,1,3,0,0,0
bioRxiv,10.1101/2020.01.06.895508,2020-01-06,FALSE,7.45,11,0,0,0
bioRxiv,10.1101/2020.01.06.895649,2020-01-06,FALSE,0.75,3,0,0,0
bioRxiv,10.1101/2020.01.05.893859,2020-01-06,FALSE,8.3,15,0,0,0
bioRxiv,10.1101/2020.01.03.893826,2020-01-06,FALSE,0.75,2,0,0,0
bioRxiv,10.1101/2019.12.28.879965,2020-01-06,FALSE,22.1,39,0,0,0
bioRxiv,10.1101/2020.01.04.894766,2020-01-06,FALSE,0,0,0,0,0
bioRxiv,10.1101/2020.01.04.894600,2020-01-06,FALSE,1.25,5,0,0,0
bioRxiv,10.1101/2020.01.06.895771,2020-01-06,FALSE,3.1,7,0,0,0
bioRxiv,10.1101/2020.01.05.888370,2020-01-06,FALSE,2.85,5,0,0,0
bioRxiv,10.1101/2020.01.06.895763,2020-01-06,FALSE,0.75,2,0,0,0
bioRxiv,10.1101/2020.01.04.894857,2020-01-06,FALSE,2,6,0,0,0
bioRxiv,10.1101/2020.01.05.895136,2020-01-06,FALSE,34.23,56,1,0,0
bioRxiv,10.1101/2020.01.05.895193,2020-01-06,FALSE,1.35,3,0,0,0
bioRxiv,10.1101/2020.01.06.896274,2020-01-07,FALSE,6.05,12,0,0,0
bioRxiv,10.1101/2020.01.06.890244,2020-01-06,FALSE,4.55,8,0,0,0
bioRxiv,10.1101/2020.01.06.895748,2020-01-06,FALSE,1.75,4,0,0,0
bioRxiv,10.1101/2020.01.06.896522,2020-01-07,FALSE,6.7,13,0,0,0
bioRxiv,10.1101/2020.01.03.894667,2020-01-06,FALSE,0.5,2,0,0,0
bioRxiv,10.1101/2020.01.05.895300,2020-01-06,FALSE,1.75,5,0,0,0
bioRxiv,10.1101/2020.01.03.894436,2020-01-06,FALSE,2.75,5,0,0,0
bioRxiv,10.1101/2020.01.05.893529,2020-01-06,FALSE,0.75,3,0,0,0
bioRxiv,10.1101/2020.01.06.896845,2020-01-07,FALSE,2.85,6,0,0,0
bioRxiv,10.1101/2020.01.06.895904,2020-01-07,FALSE,3,7,0,0,0
bioRxiv,10.1101/2020.01.06.896183,2020-01-07,FALSE,1,4,0,0,0
bioRxiv,10.1101/2020.01.03.894675,2020-01-07,FALSE,674.722,232,6,57,0
bioRxiv,10.1101/2020.01.06.895490,2020-01-07,FALSE,7.58,1,1,0,0
bioRxiv,10.1101/2020.01.06.896555,2020-01-07,FALSE,4.75,9,0,0,0
bioRxiv,10.1101/2020.01.06.896761,2020-01-07,FALSE,0.75,3,0,0,0
bioRxiv,10.1101/2020.01.06.896795,2020-01-07,FALSE,0.25,1,0,0,0
bioRxiv,10.1101/2020.01.06.896357,2020-01-07,FALSE,6.25,9,0,0,0
bioRxiv,10.1101/2020.01.07.897702,2020-01-07,FALSE,4.55,7,0,0,0
bioRxiv,10.1101/2020.01.06.895409,2020-01-07,FALSE,0.75,3,0,0,0
bioRxiv,10.1101/2020.01.07.897744,2020-01-07,FALSE,0.5,2,0,0,0
bioRxiv,10.1101/2020.01.06.896076,2020-01-07,FALSE,48.4,83,0,0,0
bioRxiv,10.1101/2020.01.07.897033,2020-01-07,FALSE,10.534,9,1,0,0
bioRxiv,10.1101/2020.01.06.896613,2020-01-07,FALSE,16.25,30,0,0,0
bioRxiv,10.1101/2020.01.06.896241,2020-01-07,FALSE,19.2,31,0,0,0
bioRxiv,10.1101/2020.01.07.896506,2020-01-07,FALSE,2.5,6,0,0,0
bioRxiv,10.1101/2020.01.06.896597,2020-01-06,FALSE,10,17,0,0,0
bioRxiv,10.1101/2020.01.06.895672,2020-01-06,FALSE,11.434,8,1,0,0
bioRxiv,10.1101/2020.01.06.895706,2020-01-06,FALSE,1,4,0,0,0
bioRxiv,10.1101/2020.01.06.895730,2020-01-06,FALSE,2.25,6,0,0,0
bioRxiv,10.1101/2020.01.06.896670,2020-01-06,FALSE,3.85,10,0,0,0
bioRxiv,10.1101/2020.01.06.896332,2020-01-06,FALSE,8.15,12,0,0,0
bioRxiv,10.1101/2020.01.06.896530,2020-01-06,FALSE,1,4,0,0,0
bioRxiv,10.1101/2020.01.06.896654,2020-01-06,FALSE,15.1,27,0,0,0
bioRxiv,10.1101/2020.01.06.895805,2020-01-06,FALSE,2,4,0,0,0
bioRxiv,10.1101/2020.01.06.895755,2020-01-06,FALSE,1.75,6,0,0,0
bioRxiv,10.1101/2020.01.06.896266,2020-01-06,FALSE,20.734,24,1,0,0
bioRxiv,10.1101/2020.01.06.896423,2020-01-07,FALSE,12.03,12,1,0,0
bioRxiv,10.1101/2020.01.07.897249,2020-01-07,FALSE,26.284,34,1,0,0
bioRxiv,10.1101/2020.01.06.896142,2020-01-07,FALSE,11.6,21,0,0,0
bioRxiv,10.1101/2020.01.07.895631,2020-01-07,FALSE,8.35,19,0,0,0
bioRxiv,10.1101/2020.01.06.894899,2020-01-07,FALSE,2.85,7,0,0,0
bioRxiv,10.1101/2020.01.06.896092,2020-01-06,FALSE,2.6,7,0,0,0
bioRxiv,10.1101/2020.01.07.897470,2020-01-07,FALSE,1.6,4,0,0,0
bioRxiv,10.1101/2020.01.06.895920,2020-01-07,FALSE,1.75,7,0,0,0
bioRxiv,10.1101/2020.01.07.892687,2020-01-07,FALSE,3.35,7,0,0,0
bioRxiv,10.1101/2020.01.07.897348,2020-01-07,FALSE,7.7,16,0,0,0
bioRxiv,10.1101/2020.01.06.896571,2020-01-07,FALSE,11.5,17,0,0,0
bioRxiv,10.1101/2020.01.06.896548,2020-01-07,FALSE,29.65,51,0,0,0
bioRxiv,10.1101/2020.01.07.897751,2020-01-07,FALSE,2,4,0,0,0
bioRxiv,10.1101/2020.01.06.895938,2020-01-07,FALSE,0.75,3,0,0,0
bioRxiv,10.1101/2020.01.06.896829,2020-01-07,FALSE,1,4,0,0,0
bioRxiv,10.1101/2020.01.05.895375,2020-01-07,FALSE,1.5,3,0,0,0
bioRxiv,10.1101/2020.01.06.896498,2020-01-07,FALSE,0.75,3,0,0,0
bioRxiv,10.1101/2020.01.06.896217,2020-01-07,FALSE,9.4,13,0,0,0
bioRxiv,10.1101/2020.01.06.894287,2020-01-07,FALSE,35.75,66,0,0,0
