doi,abstract
10.1101/001784,"Epistasis can make adaptation highly unpredictable, rendering evolutionary trajectories contingent on the chance effects of initial mutations. We used experimental evolution in Saccharomyces cerevisiae to quantify this effect, finding dramatic differences in adaptability between 64 closely related genotypes. Despite these differences, sequencing of 105 evolved clones showed no significant effect of initial genotype on future sequence-level evolution. Instead, reconstruction experiments revealed a consistent pattern of diminishing returns epistasis. Our results suggest that many beneficial mutations affecting a variety of biological processes are globally coupled: they interact strongly, but only through their combined effect on fitness. Sequence-level adaptation is thus highly stochastic. Nevertheless, fitness evolution is strikingly predictable because differences in adaptability are determined only by global fitness-mediated epistasis, not by the identity of individual mutations."
10.1101/001776,"BackgroundChromothripsis is a recently discovered phenomenon of genomic rearrangement, possibly arising during a single genome-shattering event. This could provide an alternative paradigm in cancer development, replacing the gradual accumulation of genomic changes with a \""one-off\"" catastrophic event. However, the term has been used with varying operational definitions, with the minimal consensus being a large number of locally clustered copy number aberrations. The mechanisms underlying these chromothripsis-like patterns (CTLP) and their specific impact on tumorigenesis are still poorly understood.\n\nResultsHere, we identified CTLP in 918 cancer samples, from a dataset of more than 22,000 oncogenomic arrays covering 132 cancer types. Fragmentation hotspots were found to be located on chromosome 8, 11, 12 and 17. Among the various cancer types, soft-tissue tumors exhibited particularly high CTLP frequencies. Genomic context analysis revealed that CTLP rearrangements frequently occurred in genomes that additionally harbored multiple copy number aberrations (CNAs). An investigation into the affected chromosomal regions showed a large proportion of arm-level pulverization and telomere related events, which would be compatible to a number of underlying mechanisms. We also report evidence that these genomic events may be correlated with patient age, stage and survival rate.\n\nConclusionsThrough a large-scale analysis of oncogenomic array data sets, this study characterized features associated with genomic aberrations patterns, compatible to the spectrum of \""chromothripsis\""-definitions as previously used. While quantifying clustered genomic copy number aberrations in cancer samples, our data indicates an underlying biological heterogeneity behind these chromothripsis-like patterns, beyond a well defined \""chromthripsis\"" phenomenon."
10.1101/001768,"Regulation of nuclear transport is a key cellular function involved in many central processes, such as gene expression regulation and signal transduction. Rates of protein movement between cellular compartments can be measured by FRAP. However, no standard and reliable methods to calculate transport rates exist. Here we introduce a method to extract import and export rates, suitable for noisy single cell data. This method consists of microscope procedures, routines for data processing, an ODE model to fit to the data, and algorithms for parameter optimization and error estimation.\n\nUsing this method, we successfully measured import and export rates in individual yeast. For YFP, average transport rates were 0.15 sec-1. We estimated confidence intervals for these parameters through likelihood profile analysis. We found large cell-to-cell variation (CV = 0.79) in these rates, suggesting a hitherto unknown source of cellular heterogeneity. Given the passive nature of YFP diffusion, we attribute this variation to large differences among cells in the number or quality of nuclear pores.\n\nOwing to its broad applicability and sensitivity, this method will allow deeper mechanistic insight into nuclear transport processes and into the largely unstudied cell-to-cell variation in kinetic rates."
10.1101/001750,"The capacity for aerial maneuvering was likely a major influence on the evolution of flying animals. Here we evaluate consequences of paravian morphology for aerial performance by quantifying static stability and control effectiveness of physical models for numerous taxa sampled from within the lineage leading to birds (Paraves). Results of aerodynamic testing are mapped phylogenetically to examine how maneuvering characteristics correspond to tail shortening, forewing elaboration, and other morphological features. In the evolution of Paraves we observe shifts from static stability to inherently unstable aerial planforms; control effectiveness also migrated from tails to the forewings. These shifts suggest that some degree of aerodynamic control and and capacity for maneuvering preceded the evolution of strong power stroke. The timing of shifts also suggests features normally considered in light of development of a power stroke may play important roles in control."
10.1101/001719,"Functional relationship networks, which reveal the collaborative roles between genes, have significantly accelerated our understanding of gene functions and phenotypic relevance. However, establishing such networks for alternatively spliced isoforms remains a difficult, unaddressed problem due to the lack of systematic functional annotations at the isoform level, which renders most supervised learning methods difficult to be applied to isoforms. Here we describe a novel multiple instance learning-based probabilistic approach that integrates large-scale, heterogeneous genomic datasets, including RNA-seq, exon array, protein docking and pseudo-amino acid composition, for modeling a global functional relationship network at the isoform level in the mouse. Using this approach, we formulate a gene pair as a set of isoform pairs of potentially different properties. Through simulation and cross-validation studies, we showed the superior accuracy of our algorithm in revealing the isoform-level functional relationships. The local networks reveal functional diversity of the isoforms of the same gene, as demonstrated by both large-scale analyses and experimental and literature evidence for the disparate functions revealed for the isoforms of Ptbp1 and Anxa6 by our network. Our work can assist the understanding of the diversity of functions achieved by alternative splicing of a limited set of genes in mammalian genomes, and may shift the current gene-centered network prediction paradigm to the isoform level.\n\nAuthor summaryProteins carry out their functions through interacting with each other. Such interactions can be achieved through direct physical interactions, genetic interactions, or co-regulation. To summarize these interactions, researches have established functional relationship networks, in which each gene is represented as a node and the connections between the nodes represent how likely two genes work in the same biological process. Currently, these networks are established at the gene level only, while each gene, in mammalian systems, can be alternatively spliced into multiple isoforms that may have drastically different interaction partners. This information can be mined through integrating data that provide isoform-level information, such as RNA-seq and protein docking scores predicted from amino acid sequences. In this study, we developed a novel algorithm to integrate such data for predicting isoform-level functional relationship networks, which allows us to investigate the collaborative roles between genes at a high resolution."
10.1101/001735,"In a host-parasite system, the constitutive interaction among the species, regulated by the growth rates and functional response, may induce populations to approach equilibrium or sometimes to exhibit simple cycles or peculiar oscillations, such as chaos. A large carrying capacity coupled with appropriate parasitism effectiveness frequently drives long-term apparent oscillatory dynamics in population size. We name these oscillations due to the structure of the constitutive interaction among species as ecological.\n\nOn the other hand, there are also exceptional cases when the evolving quantitative traits of the hosts and parasites induce oscillating population size, which we call as evolutionary. This oscillatory behavior is dependent on the speed of evolutionary adaptation and degree of evolutionary trade-off. A moderate level of negative trade-off is essential for the existence of oscillations. Evolutionary oscillations due to the host-parasite coevolution (known as the Red Queen) can be observed beyond the ecological oscillations, especially when there are more than two competing species involved.\n\nOne Sentence SummaryWe investigate several cases yielding to oscillating host-parasite populations, and we found that the Red Queen hypothesis can explain some of the exceptional cases.\n\nGraphical Abstract:\n\nO_FIG O_LINKSMALLFIG WIDTH=200 HEIGHT=114 SRC=\""FIGDIR/small/001735_ufig1.gif\"" ALT=\""Figure 1\"">\nView larger version (28K):\norg.highwire.dtl.DTLVardef@1280478org.highwire.dtl.DTLVardef@3d6e28org.highwire.dtl.DTLVardef@10b2718org.highwire.dtl.DTLVardef@133a78d_HPS_FORMAT_FIGEXP  M_FIG C_FIG"
10.1101/001743,"We recently demonstrated that dynein and kinesin motors drive multiple aspects of endosomal function in mammalian cells. These functions include driving motility, maintaining morphology (notably through providing longitudinal tension to support vesicle fission), and driving cargo sorting. Microtubule motors drive bidirectional motility during traffic between the endoplasmic reticulum (ER) and Golgi. Here, we have examined the role of microtubule motors in transport carrier motility, morphology, and domain organization during ER-to-Golgi transport. We show that consistent with our findings for endosomal dynamics, microtubule motor function during ER-to-Golgi transport of secretory is required for motility, morphology of, and cargo sorting within vesicular tubular carriers en route to the Golgi. Our data are consistent with previous findings that defined roles for dynein-1 and kinesin-1 (KIF5B) and kinesin-2 in this trafficking step. Our high resolution tracking data identify some intriguing aspects. Depletion of kinesin-1 reduces the number of motile structures seen which is in line with other findings relating to the role of kinesin-1 in ER export. However, those transport carriers that were produced had a much greater run length suggesting that this motor can act as a brake on anterograde motility. Kinesin-2 depletion did not significantly reduce the number of motile transport carriers but did cause a similar increase in run length. These data suggest that kinesins act as negative regulators of ER-to-Golgi transport. Depletion of dynein not only reduced the number of motile carriers formed but also caused tubulation of carriers similar to that seen for SNX-coated early endosomes. Our data indicated that the previously observed anterograde-retrograde polarity of transport carriers in transit to the Golgi from the ER is maintained by microtubule motor function."
10.1101/001727,"Next-generation sequencing is increasingly being used to study samples composed of mixtures of organisms, such as in clinical applications where the presence of a pathogen at very low abundance may be highly important. We present an analytical method (SIANN: Strain Identification by Alignment to Near Neighbors) specifically designed to rapidly detect a set of target organisms in mixed samples that achieves a high degree of species- and strain-specificity by aligning short sequence reads to the genomes of near neighbor organisms, as well as that of the target. Empirical benchmarking alongside the current state-of-the-art methods shows an extremely high Positive Predictive Value, even at very low abundances of the target organism in a mixed sample. SIANN is available as an Illumina BaseSpace app, as well as through Signature Science, LLC. SIANN results are presented in a streamlined report designed to be comprehensible to the non-specialist user, providing a powerful tool for rapid species detection in a mixed sample. By focusing on a set of (customizable) target organisms and their near neighbors, SIANN can operate quickly and with low computational requirements while delivering highly accurate results."
10.1101/001701,"Clathrin-mediated endocytosis (CME) is the major internalisation route for many different receptor types in mammalian cells. CME is shut down during early mitosis, but the mechanism of this inhibition is unclear. Here we show that the mitotic shutdown is due to an unmet requirement for actin in CME. In mitotic cells, membrane tension is increased and this invokes a requirement for the actin cytoskeleton to assist the CME machinery to overcome the increased load. However, the actin cytoskeleton is engaged in the formation of a rigid cortex in mitotic cells and is therefore unavailable for deployment. We demonstrate that CME can be \""restarted\"" in mitotic cells despite high membrane tension, by allowing actin to engage in endocytosis. Mitotic phosphorylation of endocytic proteins is maintained in mitotic cells with restored CME, indicating that direct phosphorylation of the CME machinery does not account for shutdown."
10.1101/001693,"Epigenetic histone modifications play an important role in the maintenance of different cell phenotypes. The exact molecular mechanism for inheritance of the modification patterns over cell generations remains elusive. We construct a Potts-type model based on experimentally observed nearest-neighbor enzyme lateral interactions and nucleosome covalent modification state biased enzyme recruitment. The model can lead to effective nonlocal interactions among nucleosomes suggested in previous theoretical studies, and epigenetic memory is robustly inheritable against stochastic cellular processes.\n\nPACS numbers: 82.39.Rt, 87.17.Aa, 87.16.Yc, 87.16.A"
10.1101/001677,"Community ecology is tasked with the considerable challenge of predicting the structure, and properties, of emerging ecosystems. It requires the ability to understand how and why species interact, as this will allow the development of mechanism-based predictive models, and as such to better characterize how ecological mechanisms act locally on the existence of interspecific interactions. Here we argue that the current conceptualization of species interaction networks is ill-suited for this task. Instead, we propose that future research must start to account for the intrinsic variability of species interactions, then scale up from here onto complex networks. This can be accomplished simply by recognizing that there exists intra-specific variability, in traits or properties related to the establishment of species interactions. By shifting the scale towards population-based processes, we show that this new approach will improve our predictive ability and mechanistic understanding of how species interact over large spatial or temporal scales."
10.1101/001685,"BackgroundSiphonophores (Hydrozoa) have unparalleled colony-level complexity, precision of colony organization, and functional specialization between zooids (i.e., the units that make up colonies) Previous work has shown that, unlike other colonial animals, most growth in siphonophores is restricted to one or two well-defined growth zones that are the sites of both elongation and zooid budding. It remained unknown, however, how this unique colony growth and development is realized at the cellular level.\n\nResultsTo understand the colony-level growth and development of siphonophores at the cellular level, we characterize the distribution of proliferating cells and interstitial stem cells (i-cells) in the siphonophore Nanomia bijuga. Within the colony we find that i-cells are present at the tip of the horn, the structure within the growth zone that gives rise to new zooids. They persist in the youngest zooid buds, but as each zooid matures i-cells become progressively restricted to specific regions within the zooids until they are mostly absent from the oldest zooids. I-cell marker-gene expression remained in gametogenic regions. I-cells are not found in the stem between maturing zooids. Domains of high cell proliferation include regions where i-cells can be found, but also include some areas without i-cells such as the stem within the growth zones. Cell proliferation in regions devoid of marker gene expression indicates the presence of mitotically active epithelial cell lineages and, potentially, progenitor cell populations.\n\nConclusionsRestriction of stem cells to particular regions in the colony may play a major role in facilitating the precision of siphonophore growth, and also lead to a reduced developmental plasticity in other, typically older, parts of the colony. This helps explain why siphonophore colonies have such precise colony-level organization."
10.1101/001651,"In this paper we study Copy Number Variation (CNV) data. The underlying process generating CNV segments is generally assumed to be memory-less, giving rise to an exponential distribution of segment lengths. In this paper, we provide evidence from cancer patient data, which suggests that this generative model is too simplistic, and that segment lengths follow a power-law distribution instead. We conjecture a simple preferential attachment generative model that provides the basis for the observed power-law distribution. We then show how an existing statistical method for detecting cancer driver genes can be improved by incorporating the power-law distribution in the null model."
10.1101/001669,"This paper reports an initial design of new data-structures that generalizes the idea of pattern-matching in stringology, from its traditional usage in an (unstructured) set of strings to the arena of a well-structured family of strings. In particular, the object of interest is a family of strings composed of blocks/classes of highly similar \""stringlets,\"" and thus mimic a population of genomes made by concatenating haplotype-blocks, further constrained by haplotype-phasing. Such a family of strings, which we dub \""stringomes,\"" is formalized in terms of a multi-partite directed acyclic graph with a source and a sink. The most interesting property of stringomes is probably the fact that they can be represented efficiently with compression up to their k-th order empirical entropy, while ensuring that the compression does not hinder the pattern-matching counting and reporting queries - either internal to a block or spanning two (or a few constant) adjacent blocks. The solutions proposed here have immediate applications to next-generation sequencing technologies, base-calling, expression profiling, variant-calling, population studies, onco-genomics, cyber security trace analysis and text retrieval."
10.1101/001966,"The three-dimensional conformations of non-coding RNAs underpin their biochemical functions but have largely eluded experimental characterization. Here, we report that integrating a classic mutation/rescue strategy with high-throughput chemical mapping enables rapid RNA structure inference with unusually strong validation. We revisit a paradigmatic 16S rRNA domain for which SHAPE (selective 2'-hydroxyl acylation with primer extension) suggested a conformational change between apo-and holo-ribosome conformations. Computational support estimates, data from alternative chemical probes, and mutate-and-map (M2) experiments expose limitations of prior methodology and instead give a near-crystallographic secondary structure. Systematic interrogation of single base pairs via a high-throughput mutation/rescue approach then permits incisive validation and refinement of the M2-based secondary structure and further uncovers the functional conformation as an excited state (25{+/-}5% population) accessible via a single-nucleotide register shift. These results correct an erroneous SHAPE inference of a ribosomal conformational change and suggest a general mutate-map-rescue approach for dissecting RNA dynamic structure landscapes."
10.1101/002022,"Presented here are the structures of three biologically important sweet sugars, based on the additivity of covalent atomic radii in bond lengths. The observed smaller carbon-oxygen distances involving the  anomeric carbons of the open chain hexoses are explained here, for the first time, as due to the smaller covalent double bond radii of carbon and oxygen than their single bond radii in the cyclic forms and in sucrose. The atomic structures of all the three carbohydrates, drawn to scale in colour, have been presented here also for the first time."
10.1101/002014,"Incremental selection within a population, defined as a limited fitness change following a mutation, is an important aspect of many evolutionary processes and can significantly affect a large number of mutations through the genome. Strongly advantageous or deleterious mutations are detected through the fixation of mutations in the population, using the synonymous to non-synonymous mutations ratio in sequences. There are currently to precise methods to estimate incremental selection occurring over limited periods. We here provide for the first time such a detailed method and show its precision and its applicability to the genomic analysis of selection. A special case of evolution is rapid, short term micro-evolution, where organism are under constant adaptation, occurring for example in viruses infecting a new host, B cells mutating during a germinal center reactions or mitochondria evolving within a given host. The proposed method is a novel mixed lineage tree/sequence based method to detect within population selection as defined by the effect of mutations on the average number of offspring. Specifically, we pro-pose to measure the log of the ratio between the number of leaves in lineage trees branches following synonymous and non-synonymous mutations. This method does not suffer from the need of a baseline model and is practically not affected by sampling biases. In order to show the wide applicability of this method, we apply it to multiple cases of micro-evolution, and show that it can detect genes and inter-genic regions using the selection rate and detect selection pressures in viral proteins and in the immune response to pathogens."
10.1101/001990,"A growing body of data suggests that the secondary structures adopted by G-rich polynucleotides may be more diverse than previously thought and that the definition of G-quadruplex-forming sequences should be broadened. We studied solution structures of a series of naturally occurring and model single-stranded DNA fragments defying the G3+NL1G3+NL2G3+NL3G3+ formula, which is used in most of the current GQ-search algorithms. The results confirm the GQ-forming potential of such sequences and suggest the existence of new types of GQs. We developed an improved (broadened) GQ-search algorithm (http://niifhm.ru/nauchnye-issledovanija/otdel-molekuljarnoj-biologii-i-genetiki/laboratorija-iskusstvennogo-antitelogeneza/497-2/) that accounts for the recently reported new types of GQs."
10.1101/001958,"The analysis of whole-genome or exome sequencing data from trios and pedigrees has being successfully applied to the identification of disease-causing mutations. However, most methods used to identify and genotype genetic variants from next-generation sequencing data ignore the relationships between samples, resulting in significant Mendelian errors, false positives and negatives. Here we present a Bayesian network framework that jointly analyses data from all members of a pedigree simultaneously using Mendelian segregation priors, yet providing the ability to detect de novo mutations in offspring, and is scalable to large pedigrees. We evaluated our method by simulations and analysis of WGS data from a 17 individual, 3-generation CEPH pedigree sequenced to 50X average depth. Compared to singleton calling, our family caller produced more high quality variants and eliminated spurious calls as judged by common quality metrics such as Ti/Tv, Het/Hom ratios, and dbSNP/SNP array data concordance. We developed a ground truth dataset to further evaluate our calls by identifying recombination cross-overs in the pedigree and testing variants for consistency with the inferred phasing, and we show that our method significantly outperforms singleton and population variant calling in pedigrees. We identify all previously validated de novo mutations in NA12878, concurrent with a 7X precision improvement. Our results show that our method is scalable to large genomics and human disease studies and allows cost optimization by rational sequencing capacity distribution."
10.1101/001982,"Large scale genetic screening is tedious and time-consuming. To address this problem, we propose a novel two-tiered screening system comprising an initial \""pooling\"" screen that identifies miRNAs whose tissue-specific over-expression causes a phenotype of interest followed by a more focused secondary screen that uses gene-specific RNAi. As miRNAs inhibit translation or direct the destruction of their target mRNAs, any phenotype observed with miRNA over-expression can be attributed to the loss-of-function of one or more target mRNAs. Since miRNA-target pairing is sequence-specific, a list of predicted targets for miRNAs identified in the initial screen serves as a list of candidates for the secondary RNAi-based screen. These predicted miRNA targets can be prioritized by expression pattern, and if multiple miRNAs produce the same phenotype, overlapping target predictions can be given higher priority in the follow-up screen.\n\nSince miRNAs are short, miRNA misexpression will likely uncover artifactual miRNA-target relation-ships. Thus, we are using miRNAs as a tool to accelerate genetic screening rather than focus on the biology of miRNAs themselves. This two-tiered system allows us to rapidly identify individual target genes involved in a phenomenon of interest, often in less than 200 crosses. Here we demonstrate the effectiveness of this method by identifying miRNAs that alter Drosophila odorant receptor expression. With subsequent miRNA target prediction and follow-up RNAi screening we identify and validate a novel role for the transcription factor Atf3 in the expression of the socially relevant receptor Or47b."
10.1101/001925,"Parasites and hosts are intimately associated such that changes in the diversity of one partner are thought to lead to changes in the other. We investigated this linked diversity hypothesis in a specialized ant-Ophiocordyceps system in three forests across 750 km in Central Amazonia. All species belonging to the fungal genus Ophiocordyceps associated with ants have evolved some degree of behavioral control to increase their own transmission, but the leaf-biting behavior is the most complex form of host manipulation. Such a system requires control of the mandibular muscles and a distinct shift in behavior, from climbing vegetation to walking on leaves to rasping leaf veins in the seconds before death. The need to induce complex behavior may limit host availability and represent a constraint on parasite diversity. The consequence for community structure is that complex behavioral manipulation leads to a mismatch between ant hosts and the diversity of their fungal parasites."
